number,street,unit,city,region,postcode,latitude,longitude
8525,PRIESTLEY DR,,REYNOLDSBURG,OH,43068,39.9690848,-82.7731728
219,BALLMAN SQUARE E,,ETNA TWP,OH,43068,39.9646262,-82.7337806
10057,FRENCH LAKE DR SW,,ETNA TWP,OH,43068,39.9488615,-82.7536511
8218,KINGSLEY DR,,REYNOLDSBURG,OH,43068,39.9644855,-82.7803456
733,HUNNICUT DR,,REYNOLDSBURG,OH,43068,39.9752592,-82.7566191
169,BROOK DR SW,,ETNA TWP,OH,43068,39.9440162,-82.7659512
1996,OPAL ST,,REYNOLDSBURG,OH,43068,39.9440179,-82.7930121
7147,E MAIN ST,,REYNOLDSBURG,OH,43068,39.9548723,-82.8064285
908,ROSEHILL RD,,REYNOLDSBURG,OH,43068,39.9637811,-82.8182299
6460,RED FOX CT,,REYNOLDSBURG,OH,43068,39.964648,-82.8266467
6449,RED FOX CT,,REYNOLDSBURG,OH,43068,39.9640974,-82.8268452
6623,MAIN ST,,REYNOLDSBURG,OH,43068,39.9546564,-82.8206887
509,ROSEHILL RD,,REYNOLDSBURG,OH,43068,39.9715233,-82.8223436
8122,REYNOLDSWOOD DR,,REYNOLDSBURG,OH,43068,39.9739569,-82.7837931
531,ROSEHILL RD,,REYNOLDSBURG,OH,43068,39.9710871,-82.8221489
7232,E MAIN ST,,REYNOLDSBURG,OH,43068,39.9555046,-82.8055716
6676,IMPERIAL ROSE PL,,REYNOLDSBURG,OH,43068,39.9572559,-82.8197375
6448,RED FOX CT,,REYNOLDSBURG,OH,43068,39.9645567,-82.8269549
7063,ROUNDELAY RD S,,REYNOLDSBURG,OH,43068,39.9569908,-82.8092572
6451,RUGOSA AVE,,REYNOLDSBURG,OH,43068,39.9732679,-82.8285613
1107,HILLRIDGE RD,,REYNOLDSBURG,OH,43068,39.9609926,-82.8004386
6571,SCHENK AVE,,REYNOLDSBURG,OH,43068,39.9722456,-82.8251643
6910,ROUNDELAY RD N,,REYNOLDSBURG,OH,43068,39.9649592,-82.8147199
6549,GLACIER AVE,,REYNOLDSBURG,OH,43068,39.9696961,-82.8253169
6550,FALLS CIR,,REYNOLDSBURG,OH,43068,39.9671941,-82.8248169
6962,ROUNDELAY RD N,,REYNOLDSBURG,OH,43068,39.964878,-82.8131891
8040,GOLDSMITH DR,,REYNOLDSBURG,OH,43068,39.9578399,-82.7835904
1271,FLETCHER CT,,REYNOLDSBURG,OH,43068,39.9602142,-82.7832077
7135,SHAWNEE WAY,,REYNOLDSBURG,OH,43068,39.9739691,-82.810893
808,HUNT VALLEY DR,,REYNOLDSBURG,OH,43068,39.9649451,-82.8218363
7149,TOMAHAWK TRL,,REYNOLDSBURG,OH,43068,39.9767268,-82.811185
815,MARLAN AVE,,REYNOLDSBURG,OH,43068,39.9666164,-82.8094878
1227,BAYTREE CT,,REYNOLDSBURG,OH,43068,39.9573447,-82.8143144
7277,MARLAN AVE,,REYNOLDSBURG,OH,43068,39.9686323,-82.8056815
845,ROSEHILL RD,,REYNOLDSBURG,OH,43068,39.9649885,-82.8186101
667,CATON DR,,REYNOLDSBURG,OH,43068,39.9711712,-82.7959857
8168,MAUGHAM DR,,REYNOLDSBURG,OH,43068,39.9684287,-82.7822796
6991,TREEBOURNE DR,,REYNOLDSBURG,OH,43068,39.9658679,-82.8101887
878,LANCASTER AVE,,REYNOLDSBURG,OH,43068,39.9652872,-82.8065569
6611,OLDE MILL RUN,,REYNOLDSBURG,OH,43068,39.964611,-82.8226009
1155,BEAVERCREEK BLVD,,REYNOLDSBURG,OH,43068,39.9609745,-82.7962304
7072,WIND RIVER DR,,REYNOLDSBURG,OH,43068,39.9683151,-82.8116075
492,POSTWOODS DR,,REYNOLDSBURG,OH,43068,39.9727901,-82.8144856
6536,ROSEDALE AVE,,REYNOLDSBURG,OH,43068,39.9691971,-82.8254555
676,BAINBROOK CT,,REYNOLDSBURG,OH,43068,39.9688874,-82.8138823
1251,LANCASTER AVE,,REYNOLDSBURG,OH,43068,39.9578818,-82.8036495
499,ROSEHILL RD,,REYNOLDSBURG,OH,43068,39.971727,-82.8224551
6804,N BURGUNDY PL,,REYNOLDSBURG,OH,43068,39.9579886,-82.8164983
430,KNOB AVE,,REYNOLDSBURG,OH,43068,39.9722899,-82.8292146
6980,TANYA TER,,REYNOLDSBURG,OH,43068,39.9607787,-82.8123407
614,HUNT VALLEY DR,,REYNOLDSBURG,OH,43068,39.9693358,-82.8220123
8121,GOLDSMITH DR,,REYNOLDSBURG,OH,43068,39.957562,-82.7814226
8121,BUNYAN DR,,REYNOLDSBURG,OH,43068,39.9607932,-82.7819579
