number,street,unit,city,region,postcode,latitude,longitude,parcel_id,land_use_code,land_use_type,occupancy,owner_name,homestead,year_built,bedrooms,bathrooms,half_baths,rooms,air_conditioning,appraised_value,annual_tax,sale_price,sale_date,match_status
4019,ABBEY CT,,WHITEHALL,OH,43213,39.9728553,-82.893544,090-007585,520,TWO_FAMILY,LIKELY_RENTAL,NEW LIFE VILLAS CMM LLC,,1953,6,2,0,10,1,36000.00,1701.5,0,12/27/2013,MATCHED
4021,ABBEY CT,,WHITEHALL,OH,43213,39.972889,-82.8935205,090-007585,520,TWO_FAMILY,LIKELY_RENTAL,NEW LIFE VILLAS CMM LLC,,1953,6,2,0,10,1,36000.00,1701.5,0,12/27/2013,MATCHED
4031,ABBEY CT,,WHITEHALL,OH,43213,39.9729206,-82.8933124,090-006690,520,TWO_FAMILY,LIKELY_RENTAL,NEW LIFE VILLAS CMM LLC,,1953,6,2,1,10,1,48000.00,1750.28,0,12/27/2013,MATCHED
4039,ABBEY CT,,WHITEHALL,OH,43213,39.9729367,-82.8931412,090-006689,520,TWO_FAMILY,LIKELY_RENTAL,NEW LIFE VILLAS CMM LLC,,1953,6,2,0,10,1,48000.00,1732.82,0,12/27/2013,MATCHED
4041,ABBEY CT,,WHITEHALL,OH,43213,39.9729395,-82.8930913,090-006689,520,TWO_FAMILY,LIKELY_RENTAL,NEW LIFE VILLAS CMM LLC,,1953,6,2,0,10,1,48000.00,1732.82,0,12/27/2013,MATCHED
4047,ABBEY CT,,WHITEHALL,OH,43213,39.9729244,-82.8929365,090-006688,520,TWO_FAMILY,LIKELY_RENTAL,NEW LIFE VILLAS CMM LLC,,1953,6,2,0,10,1,48000.00,1775.36,0,12/27/2013,MATCHED
4049,ABBEY CT,,WHITEHALL,OH,43213,39.9729091,-82.8928828,090-006688,520,TWO_FAMILY,LIKELY_RENTAL,NEW LIFE VILLAS CMM LLC,,1953,6,2,0,10,1,48000.00,1775.36,0,12/27/2013,MATCHED
4063,ABBEY CT,,WHITEHALL,OH,43213,39.9729802,-82.8924471,090-006659,520,TWO_FAMILY,LIKELY_RENTAL,NEW LIFE VILLAS CMM LLC,,1953,6,2,0,10,1,39400.00,1748.48,0,12/27/2013,MATCHED
4065,ABBEY CT,,WHITEHALL,OH,43213,39.9730088,-82.8924334,090-006659,520,TWO_FAMILY,LIKELY_RENTAL,NEW LIFE VILLAS CMM LLC,,1953,6,2,0,10,1,39400.00,1748.48,0,12/27/2013,MATCHED
4069,ABBEY CT,,WHITEHALL,OH,43213,39.9730714,-82.892229,090-006658,520,TWO_FAMILY,LIKELY_RENTAL,DONAHEY RICHARD S JR,,1959,4,2,0,8,1,95100.00,2264.62,107000,10/16/2019,MATCHED
4071,ABBEY CT,,WHITEHALL,OH,43213,39.9730741,-82.8921925,090-006658,520,TWO_FAMILY,LIKELY_RENTAL,DONAHEY RICHARD S JR,,1959,4,2,0,8,1,95100.00,2264.62,107000,10/16/2019,MATCHED
4079,ABBEY CT,,WHITEHALL,OH,43213,39.9730645,-82.8919739,090-006656,520,TWO_FAMILY,LIKELY_RENTAL,NEW LIFE VILLAS CMM LLC,,1953,6,2,0,10,1,28800.00,1504.06,0,12/27/2013,MATCHED
4081,ABBEY CT,,WHITEHALL,OH,43213,39.9730287,-82.8918662,090-006656,520,TWO_FAMILY,LIKELY_RENTAL,NEW LIFE VILLAS CMM LLC,,1953,6,2,0,10,1,28800.00,1504.06,0,12/27/2013,MATCHED
4113,ABBEY CT,,WHITEHALL,OH,43213,39.9731784,-82.8911088,090-001924,530,THREE_FAMILY,LIKELY_RENTAL,NACHTRAB JOHN G,,1953,3,3,0,9,1,101300.00,2761.04,0,05/09/2011,MATCHED
