number,street,unit,city,region,postcode,district,latitude,longitude
4019,ABBEY CT,,WHITEHALL,OH,43213,FRA,39.9728553,-82.893544
4021,ABBEY CT,,WHITEHALL,OH,43213,FRA,39.972889,-82.8935205
4031,ABBEY CT,,WHITEHALL,OH,43213,FRA,39.9729206,-82.8933124
4039,ABBEY CT,,WHITEHALL,OH,43213,FRA,39.9729367,-82.8931412
4041,ABBEY CT,,WHITEHALL,OH,43213,FRA,39.9729395,-82.8930913
4047,ABBEY CT,,WHITEHALL,OH,43213,FRA,39.9729244,-82.8929365
4049,ABBEY CT,,WHITEHALL,OH,43213,FRA,39.9729091,-82.8928828
4063,ABBEY CT,,WHITEHALL,OH,43213,FRA,39.9729802,-82.8924471
4065,ABBEY CT,,WHITEHALL,OH,43213,FRA,39.9730088,-82.8924334
4069,ABBEY CT,,WHITEHALL,OH,43213,FRA,39.9730714,-82.892229
4071,ABBEY CT,,WHITEHALL,OH,43213,FRA,39.9730741,-82.8921925
4079,ABBEY CT,,WHITEHALL,OH,43213,FRA,39.9730645,-82.8919739
4081,ABBEY CT,,WHITEHALL,OH,43213,FRA,39.9730287,-82.8918662
4113,ABBEY CT,,WHITEHALL,OH,43213,FRA,39.9731784,-82.8911088
4115,ABBEY CT,,WHITEHALL,OH,43213,FRA,39.9731731,-82.8911521
4121,ABBEY CT,,WHITEHALL,OH,43213,FRA,39.973148,-82.8909775
4123,ABBEY CT,,WHITEHALL,OH,43213,FRA,39.9732257,-82.8908874
4129,ABBEY CT,,WHITEHALL,OH,43213,FRA,39.9732031,-82.8907093
4131,ABBEY CT,,WHITEHALL,OH,43213,FRA,39.9731439,-82.890655
56,ALEXANDER LN,,COLUMBUS,OH,43213,FRA,39.9743505,-82.9066884
58,ALEXANDER LN,,COLUMBUS,OH,43213,FRA,39.9743452,-82.9066205
59,ALEXANDER LN,,COLUMBUS,OH,43213,FRA,39.9745672,-82.9067396
60,ALEXANDER LN,,COLUMBUS,OH,43213,FRA,39.97434,-82.9065598
61,ALEXANDER LN,,COLUMBUS,OH,43213,FRA,39.974565,-82.9066956
62,ALEXANDER LN,,COLUMBUS,OH,43213,FRA,39.9743429,-82.9065063
63,ALEXANDER LN,,COLUMBUS,OH,43213,FRA,39.9745631,-82.9066284
64,ALEXANDER LN,,COLUMBUS,OH,43213,FRA,39.9743403,-82.9064492
65,ALEXANDER LN,,COLUMBUS,OH,43213,FRA,39.9745623,-82.9065707
66,ALEXANDER LN,,COLUMBUS,OH,43213,FRA,39.9743351,-82.9063778
68,ALEXANDER LN,,COLUMBUS,OH,43213,FRA,39.9743298,-82.9063243
70,ALEXANDER LN,,COLUMBUS,OH,43213,FRA,39.9743272,-82.9062743
72,ALEXANDER LN,,COLUMBUS,OH,43213,FRA,39.9744094,-82.9063319
74,ALEXANDER LN,,COLUMBUS,OH,43213,FRA,39.9744588,-82.9063286
76,ALEXANDER LN,,COLUMBUS,OH,43213,FRA,39.974511,-82.9063218
78,ALEXANDER LN,,COLUMBUS,OH,43213,FRA,39.9745604,-82.9063185
80,ALEXANDER LN,,COLUMBUS,OH,43213,FRA,39.9746071,-82.9063152
82,ALEXANDER LN,,COLUMBUS,OH,43213,FRA,39.9746483,-82.9063119
84,ALEXANDER LN,,COLUMBUS,OH,43213,FRA,39.9747004,-82.9063086
86,ALEXANDER LN,,COLUMBUS,OH,43213,FRA,39.9747471,-82.9063018
88,ALEXANDER LN,,COLUMBUS,OH,43213,FRA,39.9747938,-82.9062985
90,ALEXANDER LN,,COLUMBUS,OH,43213,FRA,39.9748405,-82.9062952
92,ALEXANDER LN,,COLUMBUS,OH,43213,FRA,39.9748817,-82.9062883
94,ALEXANDER LN,,COLUMBUS,OH,43213,FRA,39.9749311,-82.906285
5723,ALFIE PL,,COLUMBUS,OH,43213,FRA,39.9583775,-82.8483093
5726,ALFIE PL,,COLUMBUS,OH,43213,FRA,39.9585141,-82.8475965
5729,ALFIE PL,,COLUMBUS,OH,43213,FRA,39.9581524,-82.8482455
5734,ALFIE PL,,COLUMBUS,OH,43213,FRA,39.958363,-82.847635
5735,ALFIE PL,,COLUMBUS,OH,43213,FRA,39.9579632,-82.8483077
5741,ALFIE PL,,COLUMBUS,OH,43213,FRA,39.9577658,-82.8481989
5742,ALFIE PL,,COLUMBUS,OH,43213,FRA,39.9581132,-82.8476409
5747,ALFIE PL,,COLUMBUS,OH,43213,FRA,39.9577794,-82.8478565
5750,ALFIE PL,,COLUMBUS,OH,43213,FRA,39.9584277,-82.8471252
5753,ALFIE PL,,COLUMBUS,OH,43213,FRA,39.9577826,-82.8475992
5758,ALFIE PL,,COLUMBUS,OH,43213,FRA,39.9581838,-82.8469706
5759,ALFIE PL,,COLUMBUS,OH,43213,FRA,39.9577134,-82.8473247
5766,ALFIE PL,,COLUMBUS,OH,43213,FRA,39.9579176,-82.8469336
5767,ALFIE PL,,COLUMBUS,OH,43213,FRA,39.9576429,-82.8470071
6255,ALISSA LN,,COLUMBUS,OH,43213,FRA,39.9706278,-82.8366322
6262,ALISSA LN,,COLUMBUS,OH,43213,FRA,39.971108,-82.8365744
6271,ALISSA LN,,COLUMBUS,OH,43213,FRA,39.9705932,-82.8362288
6276,ALISSA LN,,COLUMBUS,OH,43213,FRA,39.9711477,-82.8361675
