number,street,unit,city,region,postcode,district,latitude,longitude
6300,HUNTLEY RD,,Worthington,OH,43229,FRA,40.0940673,-82.9978071
1394,HOME ACRE DR,,Sharon Twp,OH,43229,FRA,40.0986587,-82.9524676
531,SCHROCK RD,,Worthington,OH,43229,FRA,40.1006594,-82.9996109
1225,HOME ACRE DR,,Sharon Twp,OH,43229,FRA,40.0982733,-82.9572741
1240,JEWETT DR,,Sharon Twp,OH,43229,FRA,40.0971853,-82.9568161
553,SCHROCK RD,,Worthington,OH,43229,FRA,40.1006744,-82.9992871
489,SCHROCK RD,,Worthington,OH,43229,FRA,40.1008111,-83.0014815
503,SCHROCK RD,,Worthington,OH,43229,FRA,40.1009729,-83.001229
487,SCHROCK RD,,Worthington,OH,43229,FRA,40.1008651,-83.0014943
533,SCHROCK RD,,Worthington,OH,43229,FRA,40.1006417,-82.9996079
6760,MAPLE CANYON AVE,,Sharon Twp,OH,43229,FRA,40.0992522,-82.9579128
6759,HILDRETH AVE,,Sharon Twp,OH,43229,FRA,40.0992263,-82.9566312
6665,HUNTLEY RD,UNIT G,Worthington,OH,43229,FRA,40.1030889,-82.9994257
6999,HUNTLEY RD,APT A,Worthington,OH,43229,FRA,40.105548,-82.9990143
6999,HUNTLEY RD,APT N,Worthington,OH,43229,FRA,40.1058312,-83.0007204
6185,HUNTLEY RD,UNIT L,Worthington,OH,43229,FRA,40.0913613,-82.9994519
1237,HOME ACRE DR,,Sharon Twp,OH,43229,FRA,40.0981506,-82.9569775
6510,HUNTLEY RD,,Worthington,OH,43229,FRA,40.097317,-82.9975601
7048,WORTHINGTON GALENA RD,,Worthington,OH,43229,FRA,40.1075643,-82.9994462
6540,HUNTLEY RD,,Worthington,OH,43229,FRA,40.0982155,-82.9975518
1315,COMMUNITY PARK DR,,Sharon Twp,OH,43229,FRA,40.1005297,-82.9548069
7036,WORTHINGTON GALENA RD,,Worthington,OH,43229,FRA,40.1068742,-83.0003497
6232,HUNTLEY RD,,Worthington,OH,43229,FRA,40.0929146,-82.9976076
7085,HUNTLEY RD,,Worthington,OH,43229,FRA,40.107476,-82.9980978
7057,HUNTLEY RD,,Worthington,OH,43229,FRA,40.1067321,-82.9983717
6325,HUNTLEY RD,,Worthington,OH,43229,FRA,40.0945067,-83.0004731
480,SCHROCK RD,,Worthington,OH,43229,FRA,40.1022585,-83.0013705
