tier,address,number,street,unit,city,state,zip,latitude,longitude,residential_proof,existence_proof,parcel_id,land_use_type,distance_m
A_parcel_address_match_and_census,"4568 HARBOR BLVD, Columbus, OH, 43232",4568,HARBOR BLVD,,Columbus,OH,43232,39.9038842,-82.8793502,auditor parcel 180-002859 (TWO_FAMILY),auditor parcel + census geocoder,180-002859,TWO_FAMILY,
A_parcel_address_match_and_census,"3710 BEECHTON RD, Columbus, OH, 43232",3710,BEECHTON RD,,Columbus,OH,43232,39.9012102,-82.8666145,auditor parcel 180-001992 (SINGLE_FAMILY),auditor parcel + census geocoder,180-001992,SINGLE_FAMILY,
A_parcel_address_match_and_census,"5088 HARBOR BLVD, Columbus, OH, 43232",5088,HARBOR BLVD,,Columbus,OH,43232,39.902783,-82.8666157,auditor parcel 180-003080 (SINGLE_FAMILY),auditor parcel + census geocoder,180-003080,SINGLE_FAMILY,
A_parcel_address_match_and_census,"3949 CLEARWATER DR, Columbus, OH, 43232",3949,CLEARWATER DR,,Columbus,OH,43232,39.8975315,-82.8611598,auditor parcel 180-002739 (SINGLE_FAMILY),auditor parcel + census geocoder,180-002739,SINGLE_FAMILY,
A_parcel_address_match_and_census,"3767 AURELIA RD, Columbus, OH, 43232",3767,AURELIA RD,,Columbus,OH,43232,39.9000103,-82.8681801,auditor parcel 180-002204 (SINGLE_FAMILY),auditor parcel + census geocoder,180-002204,SINGLE_FAMILY,
A_parcel_address_match_and_census,"4996 EWALD DR, Columbus, OH, 43232",4996,EWALD DR,,Columbus,OH,43232,39.8997512,-82.8703529,auditor parcel 180-002215 (SINGLE_FAMILY),auditor parcel + census geocoder,180-002215,SINGLE_FAMILY,
A_parcel_address_match_and_census,"5077 EWALD DR, Columbus, OH, 43232",5077,EWALD DR,,Columbus,OH,43232,39.8993041,-82.8684116,auditor parcel 180-002379 (SINGLE_FAMILY),auditor parcel + census geocoder,180-002379,SINGLE_FAMILY,
A_parcel_address_match_and_census,"3792 BONITA RD, Columbus, OH, 43232",3792,BONITA RD,,Columbus,OH,43232,39.8997298,-82.8656266,auditor parcel 180-002175 (SINGLE_FAMILY),auditor parcel + census geocoder,180-002175,SINGLE_FAMILY,
A_parcel_address_match_and_census,"3870 ATKINSON RD, Columbus, OH, 43232",3870,ATKINSON RD,,Columbus,OH,43232,39.8984374,-82.8627007,auditor parcel 180-002797 (SINGLE_FAMILY),auditor parcel + census geocoder,180-002797,SINGLE_FAMILY,
A_parcel_address_match_and_census,"5026 EWALD DR, Columbus, OH, 43232",5026,EWALD DR,,Columbus,OH,43232,39.8997142,-82.8697361,auditor parcel 180-002212 (SINGLE_FAMILY),auditor parcel + census geocoder,180-002212,SINGLE_FAMILY,
A_parcel_address_match_and_census,"3854 ATKINSON RD, Columbus, OH, 43232",3854,ATKINSON RD,,Columbus,OH,43232,39.8987751,-82.8626775,auditor parcel 180-002799 (SINGLE_FAMILY),auditor parcel + census geocoder,180-002799,SINGLE_FAMILY,
A_parcel_address_match_and_census,"3857 GLENFIELD RD, Columbus, OH, 43232",3857,GLENFIELD RD,,Columbus,OH,43232,39.8985595,-82.8651963,auditor parcel 180-002019 (SINGLE_FAMILY),auditor parcel + census geocoder,180-002019,SINGLE_FAMILY,
A_parcel_address_match_and_census,"4980 HARBOR BLVD, Columbus, OH, 43232",4980,HARBOR BLVD,,Columbus,OH,43232,39.9029157,-82.8694572,auditor parcel 180-003093 (SINGLE_FAMILY),auditor parcel + census geocoder,180-003093,SINGLE_FAMILY,
A_parcel_address_match_and_census,"4979 EWALD DR, Columbus, OH, 43232",4979,EWALD DR,,Columbus,OH,43232,39.8994277,-82.8707539,auditor parcel 180-002390 (SINGLE_FAMILY),auditor parcel + census geocoder,180-002390,SINGLE_FAMILY,
A_parcel_address_match_and_census,"5024 WYMORE DR, Columbus, OH, 43232",5024,WYMORE DR,,Columbus,OH,43232,39.9062441,-82.8666233,auditor parcel 180-003331 (SINGLE_FAMILY),auditor parcel + census geocoder,180-003331,SINGLE_FAMILY,
A_parcel_address_match_and_census,"5325 DEFOREST DR, Columbus, OH, 43232",5325,DEFOREST DR,,Columbus,OH,43232,39.9082379,-82.858296,auditor parcel 180-003780 (SINGLE_FAMILY),auditor parcel + census geocoder,180-003780,SINGLE_FAMILY,
