address,number,street,unit,city,state,zip,latitude,longitude,parcel_id,land_use_code,land_use_type,verification,homestead,year_built,bedrooms,bathrooms,appraised_value,annual_tax,sale_price,sale_date,census_match,census_matched_address
"4568 HARBOR BLVD, Columbus, OH, 43232",4568,HARBOR BLVD,,Columbus,OH,43232,39.9038842,-82.8793502,180-002859,520,TWO_FAMILY,auditor_parcel,,1966,6,2,263100.00,4539.58,0,07/06/2022,Y,Exact
"3710 BEECHTON RD, Columbus, OH, 43232",3710,BEECHTON RD,,Columbus,OH,43232,39.9012102,-82.8666145,180-001992,510,SINGLE_FAMILY,auditor_parcel,,1970,3,1,125000.00,2157.16,83000,05/09/2019,Y,Exact
"5088 HARBOR BLVD, Columbus, OH, 43232",5088,HARBOR BLVD,,Columbus,OH,43232,39.902783,-82.8666157,180-003080,510,SINGLE_FAMILY,auditor_parcel,,1968,3,1,166400.00,2807.8,59500,06/18/1993,Y,Exact
"3949 CLEARWATER DR, Columbus, OH, 43232",3949,CLEARWATER DR,,Columbus,OH,43232,39.8975315,-82.8611598,180-002739,510,SINGLE_FAMILY,auditor_parcel,,1963,3,1,147500.00,2545.1,38000,06/27/2008,Y,Exact
"3767 AURELIA RD, Columbus, OH, 43232",3767,AURELIA RD,,Columbus,OH,43232,39.9000103,-82.8681801,180-002204,510,SINGLE_FAMILY,auditor_parcel,,1970,3,1,182500.00,3079.16,93500,05/26/2016,Y,Exact
"4996 EWALD DR, Columbus, OH, 43232",4996,EWALD DR,,Columbus,OH,43232,39.8997512,-82.8703529,180-002215,510,SINGLE_FAMILY,auditor_parcel,,1970,4,1,167200.00,2821.28,118500,10/25/2018,Y,Exact
"5077 EWALD DR, Columbus, OH, 43232",5077,EWALD DR,,Columbus,OH,43232,39.8993041,-82.8684116,180-002379,510,SINGLE_FAMILY,auditor_parcel,Y,1972,3,2,189500.00,2724.86,230000,10/11/2024,Y,Exact
"3792 BONITA RD, Columbus, OH, 43232",3792,BONITA RD,,Columbus,OH,43232,39.8997298,-82.8656266,180-002175,510,SINGLE_FAMILY,auditor_parcel,,1968,3,1,177300.00,3059.24,62900,03/22/2010,Y,Exact
"3870 ATKINSON RD, Columbus, OH, 43232",3870,ATKINSON RD,,Columbus,OH,43232,39.8984374,-82.8627007,180-002797,510,SINGLE_FAMILY,auditor_parcel,,1964,3,1,166900.00,2815.98,0,06/28/1993,Y,Exact
"5026 EWALD DR, Columbus, OH, 43232",5026,EWALD DR,,Columbus,OH,43232,39.8997142,-82.8697361,180-002212,510,SINGLE_FAMILY,auditor_parcel,,1970,3,1,205900.00,3473.94,124900,06/28/2018,Y,Exact
"3854 ATKINSON RD, Columbus, OH, 43232",3854,ATKINSON RD,,Columbus,OH,43232,39.8987751,-82.8626775,180-002799,510,SINGLE_FAMILY,auditor_parcel,,1964,3,1,143800.00,2481.52,0,06/17/2015,Y,Exact
"3857 GLENFIELD RD, Columbus, OH, 43232",3857,GLENFIELD RD,,Columbus,OH,43232,39.8985595,-82.8651963,180-002019,510,SINGLE_FAMILY,auditor_parcel,,1964,3,2,187600.00,3165.44,206000,11/21/2023,Y,Exact
"4980 HARBOR BLVD, Columbus, OH, 43232",4980,HARBOR BLVD,,Columbus,OH,43232,39.9029157,-82.8694572,180-003093,510,SINGLE_FAMILY,auditor_parcel,,1965,4,1,171500.00,2893.58,246000,08/18/2023,Y,Exact
"4979 EWALD DR, Columbus, OH, 43232",4979,EWALD DR,,Columbus,OH,43232,39.8994277,-82.8707539,180-002390,510,SINGLE_FAMILY,auditor_parcel,,1970,3,1,189300.00,3266.28,0,11/15/2022,Y,Exact
"5024 WYMORE DR, Columbus, OH, 43232",5024,WYMORE DR,,Columbus,OH,43232,39.9062441,-82.8666233,180-003331,510,SINGLE_FAMILY,auditor_parcel,,1968,3,1,151500.00,2614.12,56100,07/31/2003,Y,Exact
"5325 DEFOREST DR, Columbus, OH, 43232",5325,DEFOREST DR,,Columbus,OH,43232,39.9082379,-82.858296,180-003780,510,SINGLE_FAMILY,auditor_parcel,Y,1970,3,2,175600.00,2490.62,260000,06/20/2024,Y,Exact
"2928 OLIVETTE RD, Columbus, OH, 43232",2928,OLIVETTE RD,,Columbus,OH,43232,39.9172646,-82.8584245,260-000321,510,SINGLE_FAMILY,auditor_parcel,,1970,3,1,189500.00,3356.34,139900,01/14/2020,Y,Exact
"4954 TALFORD CT, Columbus, OH, 43232",4954,TALFORD CT,,Columbus,OH,43232,39.9045072,-82.8693516,180-003497,510,SINGLE_FAMILY,auditor_parcel,,1967,3,1,140300.00,2420.88,0,10/26/2010,Y,Exact
"3127 WESTWICK RD, Columbus, OH, 43232",3127,WESTWICK RD,,Columbus,OH,43232,39.9073761,-82.9095583,180-001472,510,SINGLE_FAMILY,auditor_parcel,,1958,3,1,215400.00,3633.96,0,07/17/2014,Y,Exact
"3220 FAYCREST RD, Columbus, OH, 43232",3220,FAYCREST RD,,Columbus,OH,43232,39.9107026,-82.8619519,180-004109,510,SINGLE_FAMILY,auditor_parcel,,1965,3,1,137400.00,2318.04,200000,08/23/2024,Y,Exact
"3261 BURDETT CT, Columbus, OH, 43232",3261,BURDETT CT,,Columbus,OH,43232,39.9101689,-82.8615142,180-004142,510,SINGLE_FAMILY,auditor_parcel,,1965,3,1,147500.00,2488.68,87500,10/21/2016,Y,Exact
"3361 EVERSON RD W, Columbus, OH, 43232",3361,EVERSON RD W,,Columbus,OH,43232,39.9090685,-82.8549102,180-004559,510,SINGLE_FAMILY,auditor_parcel,Y,1971,4,2,183600.00,2625.1,0,06/13/2018,Y,Exact
"5236 TUXWORTH DR, Columbus, OH, 43232",5236,TUXWORTH DR,,Columbus,OH,43232,39.9141763,-82.8567009,260-000136,510,SINGLE_FAMILY,auditor_parcel,,1968,3,1,162000.00,2869.06,76000,09/25/1996,Y,Exact
"4655 GLENGATE DR, Columbus, OH, 43232",4655,GLENGATE DR,,Columbus,OH,43232,39.9040161,-82.87692,180-003591,510,SINGLE_FAMILY,auditor_parcel,,1966,3,2,226000.00,3813.28,135000,10/30/2018,Y,Exact
"5300 OSGOOD RD S, Columbus, OH, 43232",5300,OSGOOD RD S,,Columbus,OH,43232,39.9155317,-82.8539449,260-000242,510,SINGLE_FAMILY,auditor_parcel,,1970,4,2,220500.00,3905.34,138500,10/01/2018,Y,Exact
"3484 CLARETTA RD, Columbus, OH, 43232",3484,CLARETTA RD,,Columbus,OH,43232,39.9063427,-82.8604249,180-003755,510,SINGLE_FAMILY,auditor_parcel,,1969,3,1,148700.00,2565.8,0,02/27/2020,Y,Exact
"3487 TRENTON RD, Columbus, OH, 43232",3487,TRENTON RD,,Columbus,OH,43232,39.9002425,-82.8748002,180-001609,510,SINGLE_FAMILY,auditor_parcel,,1958,3,1,244400.00,4123.7,147500,11/06/2002,Y,Exact
