address,number,street,unit,city,state,zip,note
"4220 WINCHESTER PIKE BLDG, Columbus, OH, 43232",4220,WINCHESTER PIKE,BLDG,Columbus,OH,43232,"census-confirmed apartment unit; residential inferred (unit), not auditor-verified"
"4990 CHATTERTON RD APT 4, Columbus, OH, 43232",4990,CHATTERTON RD,APT 4,Columbus,OH,43232,"census-confirmed apartment unit; residential inferred (unit), not auditor-verified"
"5024 CHATTERTON RD APT 4, Columbus, OH, 43232",5024,CHATTERTON RD,APT 4,Columbus,OH,43232,"census-confirmed apartment unit; residential inferred (unit), not auditor-verified"
"5008 CHATTERTON RD APT 8, Columbus, OH, 43232",5008,CHATTERTON RD,APT 8,Columbus,OH,43232,"census-confirmed apartment unit; residential inferred (unit), not auditor-verified"
"5054 CHATTERTON RD APT 7, Columbus, OH, 43232",5054,CHATTERTON RD,APT 7,Columbus,OH,43232,"census-confirmed apartment unit; residential inferred (unit), not auditor-verified"
"4990 CHATTERTON RD APT 10, Columbus, OH, 43232",4990,CHATTERTON RD,APT 10,Columbus,OH,43232,"census-confirmed apartment unit; residential inferred (unit), not auditor-verified"
"5020 CHATTERTON RD APT 12, Columbus, OH, 43232",5020,CHATTERTON RD,APT 12,Columbus,OH,43232,"census-confirmed apartment unit; residential inferred (unit), not auditor-verified"
"5054 CHATTERTON RD APT 3, Columbus, OH, 43232",5054,CHATTERTON RD,APT 3,Columbus,OH,43232,"census-confirmed apartment unit; residential inferred (unit), not auditor-verified"
"4490 WINCHESTER PIKE APT R, Columbus, OH, 43232",4490,WINCHESTER PIKE,APT R,Columbus,OH,43232,"census-confirmed apartment unit; residential inferred (unit), not auditor-verified"
"5024 CHATTERTON RD APT 10, Columbus, OH, 43232",5024,CHATTERTON RD,APT 10,Columbus,OH,43232,"census-confirmed apartment unit; residential inferred (unit), not auditor-verified"
"5020 CHATTERTON RD APT 8, Columbus, OH, 43232",5020,CHATTERTON RD,APT 8,Columbus,OH,43232,"census-confirmed apartment unit; residential inferred (unit), not auditor-verified"
"5016 CHATTERTON RD APT 5, Columbus, OH, 43232",5016,CHATTERTON RD,APT 5,Columbus,OH,43232,"census-confirmed apartment unit; residential inferred (unit), not auditor-verified"
"5016 CHATTERTON RD APT 2, Columbus, OH, 43232",5016,CHATTERTON RD,APT 2,Columbus,OH,43232,"census-confirmed apartment unit; residential inferred (unit), not auditor-verified"
"5026 CHATTERTON RD APT 10, Columbus, OH, 43232",5026,CHATTERTON RD,APT 10,Columbus,OH,43232,"census-confirmed apartment unit; residential inferred (unit), not auditor-verified"
"5020 CHATTERTON RD APT 5, Columbus, OH, 43232",5020,CHATTERTON RD,APT 5,Columbus,OH,43232,"census-confirmed apartment unit; residential inferred (unit), not auditor-verified"
"5000 CHATTERTON RD APT 9, Columbus, OH, 43232",5000,CHATTERTON RD,APT 9,Columbus,OH,43232,"census-confirmed apartment unit; residential inferred (unit), not auditor-verified"
"4990 CHATTERTON RD APT 9, Columbus, OH, 43232",4990,CHATTERTON RD,APT 9,Columbus,OH,43232,"census-confirmed apartment unit; residential inferred (unit), not auditor-verified"
"5040 CHATTERTON RD APT 2, Columbus, OH, 43232",5040,CHATTERTON RD,APT 2,Columbus,OH,43232,"census-confirmed apartment unit; residential inferred (unit), not auditor-verified"
"5016 CHATTERTON RD APT 3, Columbus, OH, 43232",5016,CHATTERTON RD,APT 3,Columbus,OH,43232,"census-confirmed apartment unit; residential inferred (unit), not auditor-verified"
"5016 CHATTERTON RD APT 10, Columbus, OH, 43232",5016,CHATTERTON RD,APT 10,Columbus,OH,43232,"census-confirmed apartment unit; residential inferred (unit), not auditor-verified"
"5054 CHATTERTON RD APT 12, Columbus, OH, 43232",5054,CHATTERTON RD,APT 12,Columbus,OH,43232,"census-confirmed apartment unit; residential inferred (unit), not auditor-verified"
"5020 CHATTERTON RD APT 4, Columbus, OH, 43232",5020,CHATTERTON RD,APT 4,Columbus,OH,43232,"census-confirmed apartment unit; residential inferred (unit), not auditor-verified"
"4990 CHATTERTON RD APT 12, Columbus, OH, 43232",4990,CHATTERTON RD,APT 12,Columbus,OH,43232,"census-confirmed apartment unit; residential inferred (unit), not auditor-verified"
"5000 CHATTERTON RD APT 12, Columbus, OH, 43232",5000,CHATTERTON RD,APT 12,Columbus,OH,43232,"census-confirmed apartment unit; residential inferred (unit), not auditor-verified"
"5024 CHATTERTON RD APT 3, Columbus, OH, 43232",5024,CHATTERTON RD,APT 3,Columbus,OH,43232,"census-confirmed apartment unit; residential inferred (unit), not auditor-verified"
"4996 CHATTERTON RD APT 7, Columbus, OH, 43232",4996,CHATTERTON RD,APT 7,Columbus,OH,43232,"census-confirmed apartment unit; residential inferred (unit), not auditor-verified"
"4990 CHATTERTON RD APT 11, Columbus, OH, 43232",4990,CHATTERTON RD,APT 11,Columbus,OH,43232,"census-confirmed apartment unit; residential inferred (unit), not auditor-verified"
"5008 CHATTERTON RD APT 3, Columbus, OH, 43232",5008,CHATTERTON RD,APT 3,Columbus,OH,43232,"census-confirmed apartment unit; residential inferred (unit), not auditor-verified"
"5008 CHATTERTON RD APT 6, Columbus, OH, 43232",5008,CHATTERTON RD,APT 6,Columbus,OH,43232,"census-confirmed apartment unit; residential inferred (unit), not auditor-verified"
"4990 CHATTERTON RD APT 5, Columbus, OH, 43232",4990,CHATTERTON RD,APT 5,Columbus,OH,43232,"census-confirmed apartment unit; residential inferred (unit), not auditor-verified"
"5026 CHATTERTON RD APT 9, Columbus, OH, 43232",5026,CHATTERTON RD,APT 9,Columbus,OH,43232,"census-confirmed apartment unit; residential inferred (unit), not auditor-verified"
"5000 CHATTERTON RD APT 11, Columbus, OH, 43232",5000,CHATTERTON RD,APT 11,Columbus,OH,43232,"census-confirmed apartment unit; residential inferred (unit), not auditor-verified"
"5000 CHATTERTON RD APT 7, Columbus, OH, 43232",5000,CHATTERTON RD,APT 7,Columbus,OH,43232,"census-confirmed apartment unit; residential inferred (unit), not auditor-verified"
"4996 CHATTERTON RD APT 1, Columbus, OH, 43232",4996,CHATTERTON RD,APT 1,Columbus,OH,43232,"census-confirmed apartment unit; residential inferred (unit), not auditor-verified"
"5042 CHATTERTON RD APT 9, Columbus, OH, 43232",5042,CHATTERTON RD,APT 9,Columbus,OH,43232,"census-confirmed apartment unit; residential inferred (unit), not auditor-verified"
"5008 CHATTERTON RD APT 11, Columbus, OH, 43232",5008,CHATTERTON RD,APT 11,Columbus,OH,43232,"census-confirmed apartment unit; residential inferred (unit), not auditor-verified"
"5042 CHATTERTON RD APT 3, Columbus, OH, 43232",5042,CHATTERTON RD,APT 3,Columbus,OH,43232,"census-confirmed apartment unit; residential inferred (unit), not auditor-verified"
"5000 CHATTERTON RD APT 8, Columbus, OH, 43232",5000,CHATTERTON RD,APT 8,Columbus,OH,43232,"census-confirmed apartment unit; residential inferred (unit), not auditor-verified"
"5040 CHATTERTON RD APT 4, Columbus, OH, 43232",5040,CHATTERTON RD,APT 4,Columbus,OH,43232,"census-confirmed apartment unit; residential inferred (unit), not auditor-verified"
"5042 CHATTERTON RD APT 12, Columbus, OH, 43232",5042,CHATTERTON RD,APT 12,Columbus,OH,43232,"census-confirmed apartment unit; residential inferred (unit), not auditor-verified"
