number,street,unit,city,state,zip,census_status
6132,KENSINGTON GLEN DR,,Columbus,OH,43232,No_Match
3491,S HAMILTON RD,,Columbus,OH,43232,Tie
6038,MULBERRY ST,,Columbus,OH,43232,No_Match
6030,MULBERRY ST,,Columbus,OH,43232,No_Match
5101,RUTLEDGE DR,,Columbus,OH,43232,Tie
6025,MULBERRY ST,,Columbus,OH,43232,No_Match
3001,HIGH ST,,Columbus,OH,43232,Tie
4750,CROSSCREEK DR,,Columbus,OH,43232,No_Match
3533,S HAMILTON RD,,Columbus,OH,43232,No_Match
3040,HIGH ST,,Columbus,OH,43232,Tie
3025,HIGH ST,,Columbus,OH,43232,Tie
2996,HIGH ST,,Columbus,OH,43232,Tie
3391,KATHERINE RD,,Columbus,OH,43232,No_Match
3752,CLEARWATER DR,,Columbus,OH,43232,No_Match
2986,HIGH ST,,Columbus,OH,43232,Tie
3003,COURTRIGHT RD,,Columbus,OH,43232,No_Match
3040,COURTRIGHT RD,,Columbus,OH,43232,No_Match
3029,COURTRIGHT RD,,Columbus,OH,43232,No_Match
6002,COLUMBUS ST,,Columbus,OH,43232,No_Match
3009,COURTRIGHT RD,,Columbus,OH,43232,No_Match
6037,MULBERRY ST,,Columbus,OH,43232,No_Match
3044,BRICE RD,,Columbus,OH,43232,No_Match
4818,CROSSCREEK DR,,Columbus,OH,43232,No_Match
3034,COURTRIGHT RD,,Columbus,OH,43232,No_Match
2973,COURTRIGHT RD,,Columbus,OH,43232,No_Match
3505,S HAMILTON RD,,Columbus,OH,43232,No_Match
3045,HIGH ST,,Columbus,OH,43232,Tie
3541,S HAMILTON RD,,Columbus,OH,43232,No_Match
3010,COURTRIGHT RD,,Columbus,OH,43232,No_Match
3774,CLEARWATER DR,,Columbus,OH,43232,No_Match
3790,CLEARWATER DR,,Columbus,OH,43232,No_Match
3736,CLEARWATER DR,,Columbus,OH,43232,No_Match
3050,COURTRIGHT RD,,Columbus,OH,43232,No_Match
3029,BRICE RD,,Columbus,OH,43232,No_Match
3043,COURTRIGHT RD,,Columbus,OH,43232,No_Match
3744,CLEARWATER DR,,Columbus,OH,43232,No_Match
3782,CLEARWATER DR,,Columbus,OH,43232,No_Match
6022,MULBERRY ST,,Columbus,OH,43232,No_Match
3012,HIGH ST,,Columbus,OH,43232,Tie
3004,COURTRIGHT RD,,Columbus,OH,43232,No_Match
3070,BRICE RD,,Columbus,OH,43232,No_Match
5996,COLUMBUS ST,,Columbus,OH,43232,No_Match
