address,number,street,unit,city,state,zip,latitude,longitude,final_classification,existence_source,residential_source,census_matched_address
"4484 REINBEAU DR, Columbus, OH, 43232",4484,REINBEAU DR,,Columbus,OH,43232,39.9067247,-82.8801963,RESIDENTIAL,census_geocoder,auditor_street (17/21 dwelling),Exact
"4472 REINBEAU DR, Columbus, OH, 43232",4472,REINBEAU DR,,Columbus,OH,43232,39.9067502,-82.8805351,RESIDENTIAL,census_geocoder,auditor_street (17/21 dwelling),Exact
"4479 REINBEAU DR, Columbus, OH, 43232",4479,REINBEAU DR,,Columbus,OH,43232,39.905871,-82.8803378,RESIDENTIAL,census_geocoder,auditor_street (17/21 dwelling),Exact
"5539 NEWPORT CT, Columbus, OH, 43232",5539,NEWPORT CT,,Columbus,OH,43232,39.9036058,-82.8547148,RESIDENTIAL,census_geocoder,auditor_street (8/11 dwelling),Exact
"4482 REINBEAU DR, Columbus, OH, 43232",4482,REINBEAU DR,,Columbus,OH,43232,39.9066505,-82.8802137,RESIDENTIAL,census_geocoder,auditor_street (17/21 dwelling),Exact
"4469 REINBEAU DR, Columbus, OH, 43232",4469,REINBEAU DR,,Columbus,OH,43232,39.9060807,-82.8799397,RESIDENTIAL,census_geocoder,auditor_street (17/21 dwelling),Exact
"3445 LATONIA RD, Columbus, OH, 43232",3445,LATONIA RD,,Columbus,OH,43232,39.9069302,-82.8621141,RESIDENTIAL,census_geocoder,auditor_street (45/45 dwelling),Exact
"4488 REINBEAU DR, Columbus, OH, 43232",4488,REINBEAU DR,,Columbus,OH,43232,39.9066577,-82.8801246,RESIDENTIAL,census_geocoder,auditor_street (17/21 dwelling),Exact
"4481 REINBEAU DR, Columbus, OH, 43232",4481,REINBEAU DR,,Columbus,OH,43232,39.9058713,-82.8802593,RESIDENTIAL,census_geocoder,auditor_street (17/21 dwelling),Exact
"4477 REINBEAU DR, Columbus, OH, 43232",4477,REINBEAU DR,,Columbus,OH,43232,39.9059388,-82.8801813,RESIDENTIAL,census_geocoder,auditor_street (17/21 dwelling),Exact
"4514 REINBEAU DR, Columbus, OH, 43232",4514,REINBEAU DR,,Columbus,OH,43232,39.906653,-82.8794545,RESIDENTIAL,census_geocoder,auditor_street (17/21 dwelling),Exact
"4453 REINBEAU DR, Columbus, OH, 43232",4453,REINBEAU DR,,Columbus,OH,43232,39.9061603,-82.8802787,RESIDENTIAL,census_geocoder,auditor_street (17/21 dwelling),Exact
"4476 REINBEAU DR, Columbus, OH, 43232",4476,REINBEAU DR,,Columbus,OH,43232,39.906677,-82.8804384,RESIDENTIAL,census_geocoder,auditor_street (17/21 dwelling),Exact
"4478 REINBEAU DR, Columbus, OH, 43232",4478,REINBEAU DR,,Columbus,OH,43232,39.9066097,-82.8804487,RESIDENTIAL,census_geocoder,auditor_street (17/21 dwelling),Exact
"3232 NOE BIXBY RD APT 2S, Columbus, OH, 43232",3232,NOE BIXBY RD,APT 2S,Columbus,OH,43232,39.9097293,-82.8642212,RESIDENTIAL,census_geocoder,auditor_street (242/328 dwelling),Exact
"4516 REINBEAU DR, Columbus, OH, 43232",4516,REINBEAU DR,,Columbus,OH,43232,39.9067068,-82.8794369,RESIDENTIAL,census_geocoder,auditor_street (17/21 dwelling),Exact
"4470 REINBEAU DR, Columbus, OH, 43232",4470,REINBEAU DR,,Columbus,OH,43232,39.9066832,-82.8805525,RESIDENTIAL,census_geocoder,auditor_street (17/21 dwelling),Exact
"5105 SEDALIA DR, Columbus, OH, 43232",5105,SEDALIA DR,,Columbus,OH,43232,39.9072903,-82.864351,RESIDENTIAL,census_geocoder,auditor_street (48/57 dwelling),Exact
"3423 LATONIA RD, Columbus, OH, 43232",3423,LATONIA RD,,Columbus,OH,43232,39.9073237,-82.8619022,RESIDENTIAL,census_geocoder,auditor_street (45/45 dwelling),Exact
"3371 NOE BIXBY RD, Columbus, OH, 43232",3371,NOE BIXBY RD,,Columbus,OH,43232,39.9076944,-82.8680282,RESIDENTIAL,census_geocoder,auditor_street (242/328 dwelling),Exact
"3455 LATONIA RD, Columbus, OH, 43232",3455,LATONIA RD,,Columbus,OH,43232,39.9068625,-82.8621636,RESIDENTIAL,census_geocoder,auditor_street (45/45 dwelling),Exact
"5148 SEDALIA DR, Columbus, OH, 43232",5148,SEDALIA DR,,Columbus,OH,43232,39.907285,-82.8634063,RESIDENTIAL,census_geocoder,auditor_street (48/57 dwelling),Exact
"5108 SEDALIA DR, Columbus, OH, 43232",5108,SEDALIA DR,,Columbus,OH,43232,39.9079235,-82.8635914,RESIDENTIAL,census_geocoder,auditor_street (48/57 dwelling),Exact
"5146 SEDALIA DR, Columbus, OH, 43232",5146,SEDALIA DR,,Columbus,OH,43232,39.9073327,-82.8633353,RESIDENTIAL,census_geocoder,auditor_street (48/57 dwelling),Exact
"5138 SEDALIA DR, Columbus, OH, 43232",5138,SEDALIA DR,,Columbus,OH,43232,39.9073188,-82.8634778,RESIDENTIAL,census_geocoder,auditor_street (48/57 dwelling),Exact
"3431 LATONIA RD, Columbus, OH, 43232",3431,LATONIA RD,,Columbus,OH,43232,39.9071339,-82.8619191,RESIDENTIAL,census_geocoder,auditor_street (45/45 dwelling),Exact
"3437 LATONIA RD, Columbus, OH, 43232",3437,LATONIA RD,,Columbus,OH,43232,39.9071334,-82.8620866,RESIDENTIAL,census_geocoder,auditor_street (45/45 dwelling),Exact
"5277 SEDALIA DR, Columbus, OH, 43232",5277,SEDALIA DR,,Columbus,OH,43232,39.9054008,-82.8613076,RESIDENTIAL,census_geocoder,auditor_street (48/57 dwelling),Exact
"5136 SEDALIA DR, Columbus, OH, 43232",5136,SEDALIA DR,,Columbus,OH,43232,39.9072846,-82.8635382,RESIDENTIAL,census_geocoder,auditor_street (48/57 dwelling),Exact
"3417 LATONIA RD, Columbus, OH, 43232",3417,LATONIA RD,,Columbus,OH,43232,39.9073108,-82.8617097,RESIDENTIAL,census_geocoder,auditor_street (45/45 dwelling),Exact
"3465 NOE BIXBY RD, Columbus, OH, 43232",3465,NOE BIXBY RD,,Columbus,OH,43232,39.9086686,-82.8721471,RESIDENTIAL,census_geocoder,auditor_street (242/328 dwelling),Exact
"4451 REINBEAU DR APT, Columbus, OH, 43232",4451,REINBEAU DR,APT,Columbus,OH,43232,39.9060919,-82.8802891,RESIDENTIAL,census_geocoder,auditor_street (17/21 dwelling),Non_Exact
"3232 NOE BIXBY RD APT 2A, Columbus, OH, 43232",3232,NOE BIXBY RD,APT 2A,Columbus,OH,43232,39.9097293,-82.8642212,RESIDENTIAL,census_geocoder,auditor_street (242/328 dwelling),Exact
"3232 NOE BIXBY RD APT 3M, Columbus, OH, 43232",3232,NOE BIXBY RD,APT 3M,Columbus,OH,43232,39.9097293,-82.8642212,RESIDENTIAL,census_geocoder,auditor_street (242/328 dwelling),Exact
"3232 NOE BIXBY RD APT 2L, Columbus, OH, 43232",3232,NOE BIXBY RD,APT 2L,Columbus,OH,43232,39.9097293,-82.8642212,RESIDENTIAL,census_geocoder,auditor_street (242/328 dwelling),Exact
"4585 GLENGATE DR, Columbus, OH, 43232",4585,GLENGATE DR,,Columbus,OH,43232,39.9042138,-82.8790526,RESIDENTIAL,census_geocoder,auditor_street (38/38 dwelling),Exact
"5025 WYMORE DR, Columbus, OH, 43232",5025,WYMORE DR,,Columbus,OH,43232,39.9059049,-82.8667783,RESIDENTIAL,census_geocoder,auditor_street (39/39 dwelling),Exact
"5144 SEDALIA DR, Columbus, OH, 43232",5144,SEDALIA DR,,Columbus,OH,43232,39.9073869,-82.8632928,RESIDENTIAL,census_geocoder,auditor_street (48/57 dwelling),Exact
"3246 NOE BIXBY RD, Columbus, OH, 43232",3246,NOE BIXBY RD,,Columbus,OH,43232,39.9090313,-82.8641712,RESIDENTIAL,census_geocoder,auditor_street (242/328 dwelling),Exact
"3232 NOE BIXBY RD APT 2Q, Columbus, OH, 43232",3232,NOE BIXBY RD,APT 2Q,Columbus,OH,43232,39.9097293,-82.8642212,RESIDENTIAL,census_geocoder,auditor_street (242/328 dwelling),Exact
"3232 NOE BIXBY RD APT 1B, Columbus, OH, 43232",3232,NOE BIXBY RD,APT 1B,Columbus,OH,43232,39.9097293,-82.8642212,RESIDENTIAL,census_geocoder,auditor_street (242/328 dwelling),Exact
