number,street,unit,nearest_parcel_land_use,distance_m,reason
4484,REINBEAU DR,,403,9.2,nearest non-residential (403)
4472,REINBEAU DR,,403,20.4,nearest non-residential (403)
4479,REINBEAU DR,,417,30.4,nearest non-residential (417)
3411,OLDE CAPE W,,403,42.7,nearest non-residential (403)
4220,WINCHESTER PIKE,BLDG,499,107.6,nearest parcel 108m away (> 60m)
4444,WINCHESTER PIKE,,407,133.7,nearest parcel 134m away (> 60m)
4482,REINBEAU DR,,403,10.0,nearest non-residential (403)
4469,REINBEAU DR,,403,7.3,nearest non-residential (403)
4990,CHATTERTON RD,APT 4,420,49.4,nearest non-residential (420)
4488,REINBEAU DR,,403,16.2,nearest non-residential (403)
4481,REINBEAU DR,,403,28.9,nearest non-residential (403)
4477,REINBEAU DR,,403,19.0,nearest non-residential (403)
5024,CHATTERTON RD,APT 4,403,8.6,nearest non-residential (403)
4514,REINBEAU DR,,403,5.5,nearest non-residential (403)
4453,REINBEAU DR,,403,25.3,nearest non-residential (403)
4476,REINBEAU DR,,403,12.1,nearest non-residential (403)
4478,REINBEAU DR,,403,16.6,nearest non-residential (403)
5008,CHATTERTON RD,APT 8,403,52.9,nearest non-residential (403)
3232,NOE BIXBY RD,APT 2S,630,9.5,nearest non-residential (630)
4516,REINBEAU DR,,403,4.5,nearest non-residential (403)
4470,REINBEAU DR,,403,21.5,nearest non-residential (403)
5105,SEDALIA DR,,401,19.0,nearest non-residential (401)
5185,OLDE CAPE N,,403,45.7,nearest non-residential (403)
3371,NOE BIXBY RD,,685,43.4,nearest non-residential (685)
5148,SEDALIA DR,,510,61.9,nearest parcel 62m away (> 60m)
0,FLOYD DR,,599,7.6,nearest non-residential (599)
5108,SEDALIA DR,,425,27.4,nearest non-residential (425)
3417,OLDE CAPE W,,403,27.4,nearest non-residential (403)
5146,SEDALIA DR,,403,54.4,nearest non-residential (403)
3341,WINCHESTER PIKE,,499,27.2,nearest non-residential (499)
3465,NOE BIXBY RD,,650,45.0,nearest non-residential (650)
4451,REINBEAU DR,APT,417,23.3,nearest non-residential (417)
5976,E LIVINGSTON (R) AVE,,420,21.8,nearest non-residential (420)
3232,NOE BIXBY RD,APT 2A,630,9.5,nearest non-residential (630)
3232,NOE BIXBY RD,APT 3M,630,9.5,nearest non-residential (630)
4990,CHATTERTON RD,APT 10,420,49.4,nearest non-residential (420)
5020,CHATTERTON RD,APT 12,403,39.2,nearest non-residential (403)
3232,NOE BIXBY RD,APT 2L,630,9.5,nearest non-residential (630)
4490,WINCHESTER PIKE,APT R,499,7.2,nearest non-residential (499)
5562,SEDALIA DR,,403,47.8,nearest non-residential (403)
5021,CHATTERTON RD,,425,25.9,nearest non-residential (425)
3413,OLDE CAPE W,,403,39.4,nearest non-residential (403)
5144,SEDALIA DR,,403,49.2,nearest non-residential (403)
3439,OLDE CAPE W,,403,37.1,nearest non-residential (403)
3246,NOE BIXBY RD,,420,17.8,nearest non-residential (420)
5024,CHATTERTON RD,APT 10,403,8.6,nearest non-residential (403)
5020,CHATTERTON RD,APT 8,403,39.2,nearest non-residential (403)
5016,CHATTERTON RD,APT 5,403,19.1,nearest non-residential (403)
5016,CHATTERTON RD,APT 2,403,19.1,nearest non-residential (403)
5026,CHATTERTON RD,APT 10,403,35.7,nearest non-residential (403)
5020,CHATTERTON RD,APT 5,403,39.2,nearest non-residential (403)
5000,CHATTERTON RD,APT 9,403,23.6,nearest non-residential (403)
4990,CHATTERTON RD,APT 9,420,49.4,nearest non-residential (420)
5016,CHATTERTON RD,APT 3,403,19.1,nearest non-residential (403)
5016,CHATTERTON RD,APT 10,403,19.1,nearest non-residential (403)
5020,CHATTERTON RD,APT 4,403,39.2,nearest non-residential (403)
4990,CHATTERTON RD,APT 12,420,49.4,nearest non-residential (420)
3445,LATONIA,,403,41.4,nearest non-residential (403)
3425,OLDE CAPE W,,403,29.4,nearest non-residential (403)
3232,NOE BIXBY RD,APT 2Q,630,9.5,nearest non-residential (630)
5000,CHATTERTON RD,APT 12,403,23.6,nearest non-residential (403)
3232,NOE BIXBY RD,APT 1B,630,9.5,nearest non-residential (630)
0,KATHERINE RD,,599,5.7,nearest non-residential (599)
5011,CHATTERTON RD,,425,14.6,nearest non-residential (425)
5024,CHATTERTON RD,APT 3,403,8.6,nearest non-residential (403)
3232,NOE BIXBY RD,APT 2H,630,9.5,nearest non-residential (630)
6184,E LIVINGSTON AVE,,452,9.9,nearest non-residential (452)
4990,CHATTERTON RD,APT 11,420,49.4,nearest non-residential (420)
4475,REINBEAU DR,,403,23.8,nearest non-residential (403)
5008,CHATTERTON RD,APT 3,403,52.9,nearest non-residential (403)
5008,CHATTERTON RD,APT 6,403,52.9,nearest non-residential (403)
4459,REINBEAU DR,APT,403,20.2,nearest non-residential (403)
4990,CHATTERTON RD,APT 5,420,49.4,nearest non-residential (420)
5026,CHATTERTON RD,APT 9,403,35.7,nearest non-residential (403)
4220,WINCHESTER PIKE,,101,95.3,nearest parcel 95m away (> 60m)
3401,OLDE CAPE E,,403,26.1,nearest non-residential (403)
4457,REINBEAU DR,APT,403,23.5,nearest non-residential (403)
4490,WINCHESTER PIKE,,447,7.1,nearest non-residential (447)
4495,REINBEAU DR,,403,13.6,nearest non-residential (403)
5000,CHATTERTON RD,APT 11,403,23.6,nearest non-residential (403)
5000,CHATTERTON RD,APT 7,403,23.6,nearest non-residential (403)
4486,REINBEAU DR,,403,17.4,nearest non-residential (403)
3405,OLDE CAPE E,,403,35.6,nearest non-residential (403)
