number,street,unit,census_status,street_residential_signal
3411,OLDE CAPE W,,Match,0/1
4220,WINCHESTER PIKE,BLDG,Match,4/13
4444,WINCHESTER PIKE,,Match,4/13
4990,CHATTERTON RD,APT 4,Match,0/12
3144,CROSS KEYS RD,,No_Match,10/12
5024,CHATTERTON RD,APT 4,Match,0/12
5008,CHATTERTON RD,APT 8,Match,0/12
5054,CHATTERTON RD,APT 7,Match,0/12
3011,WINCHESTER PIKE,,Match,4/13
5185,OLDE CAPE N,,Match,0/1
3530,TORWOOD RD,,Match,1/1
2965,WINCHESTER PIKE,,Match,4/13
3039,WINCHESTER PIKE,,Match,4/13
0,FLOYD DR,,No_Match,23/40
4624,WINCHESTER PIKE,,Match,4/13
3027,WINCHESTER PIKE,,Match,4/13
3417,OLDE CAPE W,,Match,0/1
3511,WINCHESTER PIKE,,Match,4/13
5208,OLDE CAPE N,,Match,0/1
4515,GERLING BLVD,,Match,0/0
3611,TORWOOD RD,,Match,1/1
4676,WINCHESTER PIKE,,Match,4/13
3546,TORWOOD RD,,Match,1/1
5568,SEDALIA DR,,No_Match,48/57
3341,WINCHESTER PIKE,,Match,4/13
3413,LATONIA,,Tie,0/0
5976,E LIVINGSTON (R) AVE,,Match,0/0
4990,CHATTERTON RD,APT 10,Match,0/12
5020,CHATTERTON RD,APT 12,Match,0/12
5054,CHATTERTON RD,APT 3,Match,0/12
4490,WINCHESTER PIKE,APT R,Match,4/13
5200,TORWOOD RD,,Match,1/1
5562,SEDALIA DR,,No_Match,48/57
5160,RUTLEDGE DR N,,Match,0/0
4660,WINCHESTER PIKE,,Match,4/13
4650,WINCHESTER PIKE,,Match,4/13
4704,WINCHESTER PIKE,,Match,4/13
3563,TORWOOD RD,,Match,1/1
5566,SEDALIA DR,,No_Match,48/57
5174,OLDE CAPE N,,Match,0/1
5021,CHATTERTON RD,,Match,0/12
3203,WINCHESTER PIKE,,Match,4/13
5196,OLDE CAPE N,,Match,0/1
3413,OLDE CAPE W,,Match,0/1
3637,TORWOOD RD,,Match,1/1
3093,WINCHESTER PIKE,,Match,4/13
3590,TORWOOD RD,,Match,1/1
3439,OLDE CAPE W,,Match,0/1
5024,CHATTERTON RD,APT 10,Match,0/12
5020,CHATTERTON RD,APT 8,Match,0/12
5016,CHATTERTON RD,APT 5,Match,0/12
5016,CHATTERTON RD,APT 2,Match,0/12
5026,CHATTERTON RD,APT 10,Match,0/12
5020,CHATTERTON RD,APT 5,Match,0/12
5000,CHATTERTON RD,APT 9,Match,0/12
4990,CHATTERTON RD,APT 9,Match,0/12
5040,CHATTERTON RD,APT 2,Match,0/12
5016,CHATTERTON RD,APT 3,Match,0/12
5016,CHATTERTON RD,APT 10,Match,0/12
5054,CHATTERTON RD,APT 12,Match,0/12
5020,CHATTERTON RD,APT 4,Match,0/12
4990,CHATTERTON RD,APT 12,Match,0/12
0,MADELINE DR,,No_Match,14/30
3411,LATONIA,,Tie,0/0
3445,LATONIA,,Tie,0/0
4724,WINCHESTER PIKE,,Match,4/13
3425,OLDE CAPE W,,Match,0/1
3519,TORWOOD RD,,Match,1/1
5000,CHATTERTON RD,APT 12,Match,0/12
0,KATHERINE RD,,No_Match,13/29
5011,CHATTERTON RD,,Match,0/12
3770,BEACHWORTH DR,,No_Match,22/31
3530,WINCHESTER PIKE,,Match,4/13
5024,CHATTERTON RD,APT 3,Match,0/12
6184,E LIVINGSTON AVE,,Match,406/920
4996,CHATTERTON RD,APT 7,Match,0/12
4990,CHATTERTON RD,APT 11,Match,0/12
4632,WINCHESTER PIKE,,Match,4/13
5008,CHATTERTON RD,APT 3,Match,0/12
5008,CHATTERTON RD,APT 6,Match,0/12
4990,CHATTERTON RD,APT 5,Match,0/12
5026,CHATTERTON RD,APT 9,Match,0/12
4220,WINCHESTER PIKE,,Match,4/13
3401,OLDE CAPE E,,Match,0/1
3555,TORWOOD RD,,Match,1/1
4490,WINCHESTER PIKE,,Match,4/13
3073,WINCHESTER PIKE,,Match,4/13
3603,TORWOOD RD,,Match,1/1
5000,CHATTERTON RD,APT 11,Match,0/12
5000,CHATTERTON RD,APT 7,Match,0/12
4996,CHATTERTON RD,APT 1,Match,0/12
3405,OLDE CAPE E,,Match,0/1
5411,CLEARWATER DR,,No_Match,79/80
5570,SEDALIA DR,,No_Match,48/57
5042,CHATTERTON RD,APT 9,Match,0/12
3624,TORWOOD RD,,Match,1/1
4636,WINCHESTER PIKE,,Match,4/13
4640,WINCHESTER PIKE,,Match,4/13
5200,RUTLEDGE DR S,,Match,0/0
3163,WINCHESTER PIKE,,Match,4/13
3429,OLDE CAPE E,,Match,0/1
3632,TORWOOD RD,,Match,1/1
4714,WINCHESTER PIKE,,Match,4/13
5198,OLDE CAPE N,,Match,0/1
4744,WINCHESTER PIKE,,Match,4/13
5200,OLDE CAPE N,,Match,0/1
5008,CHATTERTON RD,APT 11,Match,0/12
3640,TORWOOD RD,,Match,1/1
5320,WADE RD,,No_Match,32/32
2871,BRICE RD,,Match,177/386
4989,CHATTERTON RD,,Match,0/12
3427,OLDE CAPE E,,Match,0/1
5051,CHATTERTON RD,,Match,0/12
4638,WINCHESTER PIKE,,Match,4/13
5000,WINCHESTER PIKE,,Match,4/13
3033,WINCHESTER PIKE,,Match,4/13
5041,CHATTERTON RD,,Match,0/12
3410,WINCHESTER PIKE,,Match,4/13
4491,GERLING BLVD,,Match,0/0
3434,WINCHESTER PIKE,,Match,4/13
5047,CHATTERTON RD,,Match,0/12
3099,WINCHESTER PIKE,,Match,4/13
4616,WINCHESTER PIKE,,Match,4/13
4628,WINCHESTER PIKE,,Match,4/13
3409,OLDE CAPE W,,Match,0/1
3419,OLDE CAPE E,,Match,0/1
3480,WINCHESTER PIKE,,Match,4/13
5206,OLDE CAPE N,,Match,0/1
5037,CHATTERTON RD,,Match,0/12
3407,OLDE CAPE E,,Match,0/1
5042,CHATTERTON RD,APT 3,Match,0/12
5000,CHATTERTON RD,APT 8,Match,0/12
5040,CHATTERTON RD,APT 4,Match,0/12
3409,LATONIA DR,,Tie,0/0
3560,TORWOOD RD,,Match,1/1
4760,WINCHESTER PIKE,,Match,4/13
5580,SEDALIA DR,,No_Match,48/57
3295,WINCHESTER PIKE,,Match,4/13
3554,TORWOOD RD,,Match,1/1
5168,OLDE CAPE N,,Match,0/1
5179,OLDE CAPE N,,Match,0/1
3288,EVERSON RD E,,Match,0/0
3437,OLDE CAPE W,,Match,0/1
3431,OLDE CAPE W,,Match,0/1
3616,TORWOOD RD,,Match,1/1
5188,OLDE CAPE N,,Match,0/1
3600,TORWOOD RD,,Match,1/1
3415,OLDE CAPE E,,Match,0/1
3007,WINCHESTER PIKE,,Match,4/13
