number,street,unit,city,postcode,latitude,longitude,reason
3300,S HAMILTON RD,,MADISON TWP,43232,39.9079216,-82.8807981,matched COMMERCIAL
3411,OLDE CAPE W,,MADISON TWP,43232,39.907876,-82.8627927,no parcel; street parcels=1 dwelling=0
4220,WINCHESTER PIKE,BLDG,MADISON TWP,43232,39.9046324,-82.8910958,no parcel; street parcels=13 dwelling=4
4444,WINCHESTER PIKE,,MADISON TWP,43232,39.9012476,-82.8851992,no parcel; street parcels=13 dwelling=4
4497,REINBEAU DR,,MADISON TWP,43232,39.906148,-82.8798509,matched COMMERCIAL
4990,CHATTERTON RD,APT 4,TRURO TWP,43232,39.9158518,-82.8623067,no parcel; street parcels=12 dwelling=0
4506,REINBEAU DR,,MADISON TWP,43232,39.9065987,-82.8796894,matched COMMERCIAL
4504,REINBEAU DR,,MADISON TWP,43232,39.9066726,-82.8796827,matched COMMERCIAL
4467,REINBEAU DR,,MADISON TWP,43232,39.9062015,-82.8799296,matched COMMERCIAL
5024,CHATTERTON RD,APT 4,TRURO TWP,43232,39.9160087,-82.8617228,no parcel; street parcels=12 dwelling=0
4499,REINBEAU DR,,MADISON TWP,43232,39.9062018,-82.8798512,matched COMMERCIAL
4498,REINBEAU DR,,MADISON TWP,43232,39.9066791,-82.8797683,matched COMMERCIAL
4490,REINBEAU DR,,MADISON TWP,43232,39.9065904,-82.8801349,matched COMMERCIAL
5008,CHATTERTON RD,APT 8,TRURO TWP,43232,39.9160153,-82.8622541,no parcel; street parcels=12 dwelling=0
5054,CHATTERTON RD,APT 7,TRURO TWP,43232,39.9159713,-82.8606103,no parcel; street parcels=12 dwelling=0
3405,S HAMILTON RD,APT G,MADISON TWP,43232,39.9061391,-82.8833192,matched COMMERCIAL
5984,E LIVINGSTON AVE,,REYNOLDSBURG,43232,39.9427981,-82.835556,matched COMMERCIAL
6151,RADEKIN RD,,REYNOLDSBURG,43232,39.9432841,-82.8316071,matched COMMERCIAL
3011,WINCHESTER PIKE,,MADISON TWP,43232,39.9119625,-82.9089258,no parcel; street parcels=13 dwelling=4
5996,E LIVINGSTON AVE,,REYNOLDSBURG,43232,39.9425426,-82.8349699,matched COMMERCIAL
3527,GRAYSTONE DR,,MADISON TWP,43232,39.9038102,-82.8756463,matched EXEMPT
6015,RADEKIN RD,,REYNOLDSBURG,43232,39.9433499,-82.8343916,matched COMMERCIAL
5185,OLDE CAPE N,,MADISON TWP,43232,39.9075528,-82.8622028,no parcel; street parcels=1 dwelling=0
3530,TORWOOD RD,,MADISON TWP,43232,39.9048826,-82.8630658,no parcel; street parcels=1 dwelling=1
2965,WINCHESTER PIKE,,MADISON TWP,43232,39.9125803,-82.9103234,no parcel; street parcels=13 dwelling=4
3335,EVERSON RD E,,MADISON TWP,43232,39.9093517,-82.8538458,matched OTHER
3039,WINCHESTER PIKE,,MADISON TWP,43232,39.9114233,-82.9078389,no parcel; street parcels=13 dwelling=4
0,FLOYD DR,,MADISON TWP,43232,39.9091519,-82.8827619,no parcel; street parcels=40 dwelling=23
4624,WINCHESTER PIKE,,MADISON TWP,43232,39.8993721,-82.879625,no parcel; street parcels=13 dwelling=4
3027,WINCHESTER PIKE,,MADISON TWP,43232,39.9117345,-82.9084361,no parcel; street parcels=13 dwelling=4
2925,BRICE RD,,BRICE,43232,39.9191947,-82.8327468,matched COMMERCIAL
3417,OLDE CAPE W,,MADISON TWP,43232,39.9077199,-82.8628632,no parcel; street parcels=1 dwelling=0
3511,WINCHESTER PIKE,,MADISON TWP,43232,39.9062357,-82.8973536,no parcel; street parcels=13 dwelling=4
2855,BRICE RD,,BRICE,43232,39.9205997,-82.8321724,matched COMMERCIAL
3555,WATKINS RD,,MADISON TWP,43232,39.9064018,-82.9013932,matched OTHER
4533,KATHERINE RD,,MADISON TWP,43232,39.9072409,-82.882181,matched OTHER
3454,S HAMILTON RD,,MADISON TWP,43232,39.9044203,-82.880394,matched COMMERCIAL
5208,OLDE CAPE N,,MADISON TWP,43232,39.9075139,-82.8616501,no parcel; street parcels=1 dwelling=0
4515,GERLING BLVD,,MADISON TWP,43232,39.9096635,-82.8819555,no parcel; street parcels=0 dwelling=0
3611,TORWOOD RD,,MADISON TWP,43232,39.9034092,-82.862805,no parcel; street parcels=1 dwelling=1
4676,WINCHESTER PIKE,,MADISON TWP,43232,39.8978712,-82.8764233,no parcel; street parcels=13 dwelling=4
3546,TORWOOD RD,,MADISON TWP,43232,39.9047392,-82.8629189,no parcel; street parcels=1 dwelling=1
3341,WINCHESTER PIKE,,MADISON TWP,43232,39.9079988,-82.9006289,no parcel; street parcels=13 dwelling=4
3413,LATONIA,,MADISON TWP,43232,39.9074737,-82.8615786,no parcel; street parcels=0 dwelling=0
5976,E LIVINGSTON (R) AVE,,REYNOLDSBURG,43232,39.94319,-82.835911,no parcel; street parcels=0 dwelling=0
4990,CHATTERTON RD,APT 10,TRURO TWP,43232,39.9158518,-82.8623067,no parcel; street parcels=12 dwelling=0
5020,CHATTERTON RD,APT 12,TRURO TWP,43232,39.9158388,-82.8612656,no parcel; street parcels=12 dwelling=0
5054,CHATTERTON RD,APT 3,TRURO TWP,43232,39.9159713,-82.8606103,no parcel; street parcels=12 dwelling=0
4490,WINCHESTER PIKE,APT R,MADISON TWP,43232,39.9011217,-82.8830741,no parcel; street parcels=13 dwelling=4
5200,TORWOOD RD,,MADISON TWP,43232,39.9041501,-82.8630121,no parcel; street parcels=1 dwelling=1
3020,HIGH ST,,BRICE,43232,39.9172288,-82.8306375,matched COMMERCIAL
5160,RUTLEDGE DR N,,MADISON TWP,43232,39.9140459,-82.8589391,no parcel; street parcels=0 dwelling=0
4660,WINCHESTER PIKE,,MADISON TWP,43232,39.8979836,-82.8768873,no parcel; street parcels=13 dwelling=4
5990,COLUMBUS ST,,BRICE,43232,39.9183424,-82.8312703,matched EXEMPT
4650,WINCHESTER PIKE,,MADISON TWP,43232,39.8982113,-82.8771131,no parcel; street parcels=13 dwelling=4
4704,WINCHESTER PIKE,,MADISON TWP,43232,39.8971962,-82.8753754,no parcel; street parcels=13 dwelling=4
3363,BEACHWORTH DR,,MADISON TWP,43232,39.9067005,-82.8793585,matched COMMERCIAL
3563,TORWOOD RD,,MADISON TWP,43232,39.9043022,-82.8630806,no parcel; street parcels=1 dwelling=1
6032,E LIVINGSTON AVE,,REYNOLDSBURG,43232,39.9426194,-82.8336418,matched COMMERCIAL
3025,NOE BIXBY RD,,MADISON TWP,43232,39.9143793,-82.8636395,matched COMMERCIAL
6157,RADEKIN RD,,REYNOLDSBURG,43232,39.9431425,-82.8314522,matched COMMERCIAL
6161,RADEKIN RD,,REYNOLDSBURG,43232,39.9430303,-82.83096,matched COMMERCIAL
5174,OLDE CAPE N,,MADISON TWP,43232,39.9078919,-82.8620193,no parcel; street parcels=1 dwelling=0
5021,CHATTERTON RD,,TRURO TWP,43232,39.9148942,-82.8613463,no parcel; street parcels=12 dwelling=0
6008,E LIVINGSTON AVE,,REYNOLDSBURG,43232,39.9426613,-82.8344355,matched COMMERCIAL
3200,DUNLOE RD,,MADISON TWP,43232,39.9112383,-82.8580797,matched EXEMPT
3035,NOE BIXBY RD,,MADISON TWP,43232,39.9142508,-82.8636281,matched COMMERCIAL
3203,WINCHESTER PIKE,,MADISON TWP,43232,39.9087826,-82.9026332,no parcel; street parcels=13 dwelling=4
5099,SEDALIA RD,,MADISON TWP,43232,39.9074012,-82.8645226,matched COMMERCIAL
5196,OLDE CAPE N,,MADISON TWP,43232,39.9076759,-82.8618256,no parcel; street parcels=1 dwelling=0
4445,REINBEAU DR,,MADISON TWP,43232,39.9061326,-82.8805317,matched COMMERCIAL
3413,OLDE CAPE W,,MADISON TWP,43232,39.907849,-82.862732,no parcel; street parcels=1 dwelling=0
3637,TORWOOD RD,,MADISON TWP,43232,39.9030486,-82.8629636,no parcel; street parcels=1 dwelling=1
3280,S HAMILTON RD,,MADISON TWP,43232,39.9083546,-82.8800163,matched COMMERCIAL
3093,WINCHESTER PIKE,,MADISON TWP,43232,39.9102261,-82.9054007,no parcel; street parcels=13 dwelling=4
3590,TORWOOD RD,,MADISON TWP,43232,39.9038087,-82.8624436,no parcel; street parcels=1 dwelling=1
3439,OLDE CAPE W,,MADISON TWP,43232,39.9074957,-82.8631686,no parcel; street parcels=1 dwelling=0
6060,E LIVINGSTON AVE,,REYNOLDSBURG,43232,39.9427345,-82.8323526,matched COMMERCIAL
3431,BEACHWORTH DR,APT A,MADISON TWP,43232,39.905187,-82.8794571,matched COMMERCIAL
3445,BEACHWORTH DR,APT B,MADISON TWP,43232,39.9048998,-82.8794912,matched COMMERCIAL
5024,CHATTERTON RD,APT 10,TRURO TWP,43232,39.9160087,-82.8617228,no parcel; street parcels=12 dwelling=0
5020,CHATTERTON RD,APT 8,TRURO TWP,43232,39.9158388,-82.8612656,no parcel; street parcels=12 dwelling=0
5016,CHATTERTON RD,APT 5,TRURO TWP,43232,39.9161556,-82.8618092,no parcel; street parcels=12 dwelling=0
5016,CHATTERTON RD,APT 2,TRURO TWP,43232,39.9161556,-82.8618092,no parcel; street parcels=12 dwelling=0
5026,CHATTERTON RD,APT 10,TRURO TWP,43232,39.9161409,-82.8612351,no parcel; street parcels=12 dwelling=0
5020,CHATTERTON RD,APT 5,TRURO TWP,43232,39.9158388,-82.8612656,no parcel; street parcels=12 dwelling=0
5000,CHATTERTON RD,APT 9,TRURO TWP,43232,39.9158696,-82.8617863,no parcel; street parcels=12 dwelling=0
4990,CHATTERTON RD,APT 9,TRURO TWP,43232,39.9158518,-82.8623067,no parcel; street parcels=12 dwelling=0
5040,CHATTERTON RD,APT 2,TRURO TWP,43232,39.9157914,-82.8607128,no parcel; street parcels=12 dwelling=0
5016,CHATTERTON RD,APT 3,TRURO TWP,43232,39.9161556,-82.8618092,no parcel; street parcels=12 dwelling=0
5016,CHATTERTON RD,APT 10,TRURO TWP,43232,39.9161556,-82.8618092,no parcel; street parcels=12 dwelling=0
5054,CHATTERTON RD,APT 12,TRURO TWP,43232,39.9159713,-82.8606103,no parcel; street parcels=12 dwelling=0
5020,CHATTERTON RD,APT 4,TRURO TWP,43232,39.9158388,-82.8612656,no parcel; street parcels=12 dwelling=0
4990,CHATTERTON RD,APT 12,TRURO TWP,43232,39.9158518,-82.8623067,no parcel; street parcels=12 dwelling=0
3453,BEACHWORTH DR,APT A,MADISON TWP,43232,39.9046812,-82.879515,matched COMMERCIAL
0,MADELINE DR,,MADISON TWP,43232,39.9076711,-82.8846181,no parcel; street parcels=30 dwelling=14
3411,LATONIA,,MADISON TWP,43232,39.9075143,-82.8615254,no parcel; street parcels=0 dwelling=0
3445,LATONIA,,MADISON TWP,43232,39.9071387,-82.8625892,no parcel; street parcels=0 dwelling=0
4724,WINCHESTER PIKE,,MADISON TWP,43232,39.8968827,-82.8746644,no parcel; street parcels=13 dwelling=4
3425,OLDE CAPE W,,MADISON TWP,43232,39.9076723,-82.8629877,no parcel; street parcels=1 dwelling=0
