address,number,street,unit,city,state,zip,latitude,longitude,residential_proof,nearest_parcel_land_use,distance_m,parcel_id
"5539 NEWPORT CT, Columbus, OH, 43232",5539,NEWPORT CT,,Columbus,OH,43232,39.9036058,-82.8547148,nearest parcel (within 23m) LANDUSE 510,510,23.5,180-002493
"3445 LATONIA RD, Columbus, OH, 43232",3445,LATONIA RD,,Columbus,OH,43232,39.9069302,-82.8621141,nearest parcel (within 25m) LANDUSE 510,510,25.5,180-003698
"3144 CROSS KEYS RD, Columbus, OH, 43232",3144,CROSS KEYS RD,,Columbus,OH,43232,39.9069323,-82.908964,nearest parcel (within 18m) LANDUSE 510,510,18.0,180-001623
"5054 CHATTERTON RD APT 7, Columbus, OH, 43232",5054,CHATTERTON RD,APT 7,Columbus,OH,43232,39.9159713,-82.8606103,nearest parcel (within 31m) LANDUSE 510,510,31.1,260-000391
"3423 LATONIA RD, Columbus, OH, 43232",3423,LATONIA RD,,Columbus,OH,43232,39.9073237,-82.8619022,nearest parcel (within 38m) LANDUSE 510,510,37.8,180-003700
"3011 WINCHESTER PIKE, Columbus, OH, 43232",3011,WINCHESTER PIKE,,Columbus,OH,43232,39.9119625,-82.9089258,nearest parcel (within 21m) LANDUSE 510,510,20.7,180-001269
"3530 TORWOOD RD, Columbus, OH, 43232",3530,TORWOOD RD,,Columbus,OH,43232,39.9048826,-82.8630658,nearest parcel (within 8m) LANDUSE 510,510,8.2,180-003239
"2965 WINCHESTER PIKE, Columbus, OH, 43232",2965,WINCHESTER PIKE,,Columbus,OH,43232,39.9125803,-82.9103234,nearest parcel (within 14m) LANDUSE 510,510,14.3,530-148748
"3455 LATONIA RD, Columbus, OH, 43232",3455,LATONIA RD,,Columbus,OH,43232,39.9068625,-82.8621636,nearest parcel (within 23m) LANDUSE 510,510,23.4,180-003697
"3039 WINCHESTER PIKE, Columbus, OH, 43232",3039,WINCHESTER PIKE,,Columbus,OH,43232,39.9114233,-82.9078389,nearest parcel (within 8m) LANDUSE 510,510,8.1,180-001272
"4624 WINCHESTER PIKE, Columbus, OH, 43232",4624,WINCHESTER PIKE,,Columbus,OH,43232,39.8993721,-82.879625,nearest parcel (within 26m) LANDUSE 510,510,25.6,180-001223
"3027 WINCHESTER PIKE, Columbus, OH, 43232",3027,WINCHESTER PIKE,,Columbus,OH,43232,39.9117345,-82.9084361,nearest parcel (within 7m) LANDUSE 510,510,7.2,180-001270
"3511 WINCHESTER PIKE, Columbus, OH, 43232",3511,WINCHESTER PIKE,,Columbus,OH,43232,39.9062357,-82.8973536,nearest parcel (within 53m) LANDUSE 511,511,53.1,180-005332
"5138 SEDALIA DR, Columbus, OH, 43232",5138,SEDALIA DR,,Columbus,OH,43232,39.9073188,-82.8634778,nearest parcel (within 58m) LANDUSE 510,510,58.2,180-003303
"3431 LATONIA RD, Columbus, OH, 43232",3431,LATONIA RD,,Columbus,OH,43232,39.9071339,-82.8619191,nearest parcel (within 26m) LANDUSE 510,510,25.8,180-003699
"3437 LATONIA RD, Columbus, OH, 43232",3437,LATONIA RD,,Columbus,OH,43232,39.9071334,-82.8620866,nearest parcel (within 38m) LANDUSE 510,510,37.7,180-003699
"5208 OLDE CAPE N, Columbus, OH, 43232",5208,OLDE CAPE N,,Columbus,OH,43232,39.9075139,-82.8616501,nearest parcel (within 34m) LANDUSE 510,510,34.5,180-004180
"5277 SEDALIA DR, Columbus, OH, 43232",5277,SEDALIA DR,,Columbus,OH,43232,39.9054008,-82.8613076,nearest parcel (within 16m) LANDUSE 510,510,15.6,180-003173
"5136 SEDALIA DR, Columbus, OH, 43232",5136,SEDALIA DR,,Columbus,OH,43232,39.9072846,-82.8635382,nearest parcel (within 52m) LANDUSE 510,510,51.8,180-003303
"4515 GERLING BLVD, Columbus, OH, 43232",4515,GERLING BLVD,,Columbus,OH,43232,39.9096635,-82.8819555,nearest parcel (within 7m) LANDUSE 510,510,7.3,180-000518
"3611 TORWOOD RD, Columbus, OH, 43232",3611,TORWOOD RD,,Columbus,OH,43232,39.9034092,-82.862805,nearest parcel (within 12m) LANDUSE 510,510,12.0,180-003230
"4676 WINCHESTER PIKE, Columbus, OH, 43232",4676,WINCHESTER PIKE,,Columbus,OH,43232,39.8978712,-82.8764233,nearest parcel (within 18m) LANDUSE 510,510,18.5,180-001227
"3546 TORWOOD RD, Columbus, OH, 43232",3546,TORWOOD RD,,Columbus,OH,43232,39.9047392,-82.8629189,nearest parcel (within 10m) LANDUSE 510,510,10.2,180-003238
"5568 SEDALIA DR, Columbus, OH, 43232",5568,SEDALIA DR,,Columbus,OH,43232,39.906894,-82.8629016,nearest parcel (within 56m) LANDUSE 510,510,55.7,180-003162
"3417 LATONIA RD, Columbus, OH, 43232",3417,LATONIA RD,,Columbus,OH,43232,39.9073108,-82.8617097,nearest parcel (within 25m) LANDUSE 510,510,25.2,180-003700
"3413 LATONIA, Columbus, OH, 43232",3413,LATONIA,,Columbus,OH,43232,39.9074737,-82.8615786,nearest parcel (within 28m) LANDUSE 510,510,28.4,180-003701
"5054 CHATTERTON RD APT 3, Columbus, OH, 43232",5054,CHATTERTON RD,APT 3,Columbus,OH,43232,39.9159713,-82.8606103,nearest parcel (within 31m) LANDUSE 510,510,31.1,260-000391
"5200 TORWOOD RD, Columbus, OH, 43232",5200,TORWOOD RD,,Columbus,OH,43232,39.9041501,-82.8630121,nearest parcel (within 21m) LANDUSE 510,510,21.1,180-003234
"5160 RUTLEDGE DR N, Columbus, OH, 43232",5160,RUTLEDGE DR N,,Columbus,OH,43232,39.9140459,-82.8589391,nearest parcel (within 13m) LANDUSE 510,510,13.5,180-004773
"4660 WINCHESTER PIKE, Columbus, OH, 43232",4660,WINCHESTER PIKE,,Columbus,OH,43232,39.8979836,-82.8768873,nearest parcel (within 20m) LANDUSE 510,510,19.9,180-003813
"4650 WINCHESTER PIKE, Columbus, OH, 43232",4650,WINCHESTER PIKE,,Columbus,OH,43232,39.8982113,-82.8771131,nearest parcel (within 12m) LANDUSE 510,510,12.0,180-003813
"4704 WINCHESTER PIKE, Columbus, OH, 43232",4704,WINCHESTER PIKE,,Columbus,OH,43232,39.8971962,-82.8753754,nearest parcel (within 20m) LANDUSE 510,510,20.4,180-001231
"3563 TORWOOD RD, Columbus, OH, 43232",3563,TORWOOD RD,,Columbus,OH,43232,39.9043022,-82.8630806,nearest parcel (within 22m) LANDUSE 510,510,22.0,180-003235
"5566 SEDALIA DR, Columbus, OH, 43232",5566,SEDALIA DR,,Columbus,OH,43232,39.906995,-82.8630697,nearest parcel (within 55m) LANDUSE 510,510,55.4,180-003161
"5174 OLDE CAPE N, Columbus, OH, 43232",5174,OLDE CAPE N,,Columbus,OH,43232,39.9078919,-82.8620193,nearest parcel (within 28m) LANDUSE 510,510,28.0,180-004179
"4585 GLENGATE DR, Columbus, OH, 43232",4585,GLENGATE DR,,Columbus,OH,43232,39.9042138,-82.8790526,nearest parcel (within 9m) LANDUSE 520,520,9.4,180-003567
"3203 WINCHESTER PIKE, Columbus, OH, 43232",3203,WINCHESTER PIKE,,Columbus,OH,43232,39.9087826,-82.9026332,nearest parcel (within 6m) LANDUSE 511,511,6.2,180-000567
"5025 WYMORE DR, Columbus, OH, 43232",5025,WYMORE DR,,Columbus,OH,43232,39.9059049,-82.8667783,nearest parcel (within 12m) LANDUSE 510,510,11.7,180-003343
"5196 OLDE CAPE N, Columbus, OH, 43232",5196,OLDE CAPE N,,Columbus,OH,43232,39.9076759,-82.8618256,nearest parcel (within 28m) LANDUSE 510,510,28.1,180-004180
"3637 TORWOOD RD, Columbus, OH, 43232",3637,TORWOOD RD,,Columbus,OH,43232,39.9030486,-82.8629636,nearest parcel (within 18m) LANDUSE 510,510,18.4,180-003227
"3093 WINCHESTER PIKE, Columbus, OH, 43232",3093,WINCHESTER PIKE,,Columbus,OH,43232,39.9102261,-82.9054007,nearest parcel (within 11m) LANDUSE 510,510,11.1,180-001279
"3590 TORWOOD RD, Columbus, OH, 43232",3590,TORWOOD RD,,Columbus,OH,43232,39.9038087,-82.8624436,nearest parcel (within 18m) LANDUSE 510,510,17.9,180-003232
"5040 CHATTERTON RD APT 2, Columbus, OH, 43232",5040,CHATTERTON RD,APT 2,Columbus,OH,43232,39.9157914,-82.8607128,nearest parcel (within 38m) LANDUSE 510,510,37.9,260-000390
"5054 CHATTERTON RD APT 12, Columbus, OH, 43232",5054,CHATTERTON RD,APT 12,Columbus,OH,43232,39.9159713,-82.8606103,nearest parcel (within 31m) LANDUSE 510,510,31.1,260-000391
"0 MADELINE DR, Columbus, OH, 43232",0,MADELINE DR,,Columbus,OH,43232,39.9076711,-82.8846181,nearest parcel (within 2m) LANDUSE 510,510,1.6,180-000791
"3411 LATONIA, Columbus, OH, 43232",3411,LATONIA,,Columbus,OH,43232,39.9075143,-82.8615254,nearest parcel (within 26m) LANDUSE 510,510,26.4,180-003702
"4724 WINCHESTER PIKE, Columbus, OH, 43232",4724,WINCHESTER PIKE,,Columbus,OH,43232,39.8968827,-82.8746644,nearest parcel (within 18m) LANDUSE 510,510,18.1,180-001233
"3519 TORWOOD RD, Columbus, OH, 43232",3519,TORWOOD RD,,Columbus,OH,43232,39.9047248,-82.8634892,nearest parcel (within 19m) LANDUSE 510,510,18.6,180-003247
"3770 BEACHWORTH DR, Columbus, OH, 43232",3770,BEACHWORTH DR,,Columbus,OH,43232,39.9066062,-82.878891,nearest parcel (within 5m) LANDUSE 520,520,4.6,180-004862
"3530 WINCHESTER PIKE, Columbus, OH, 43232",3530,WINCHESTER PIKE,,Columbus,OH,43232,39.9064947,-82.8961823,nearest parcel (within 32m) LANDUSE 511,511,32.1,180-000016
"3427 LATONIA RD, Columbus, OH, 43232",3427,LATONIA RD,,Columbus,OH,43232,39.9072428,-82.8617877,nearest parcel (within 25m) LANDUSE 510,510,24.6,180-003700
"3463 LATONIA RD, Columbus, OH, 43232",3463,LATONIA RD,,Columbus,OH,43232,39.9066725,-82.8623587,nearest parcel (within 23m) LANDUSE 510,510,23.0,180-003696
"4996 CHATTERTON RD APT 7, Columbus, OH, 43232",4996,CHATTERTON RD,APT 7,Columbus,OH,43232,39.9161373,-82.8623937,nearest parcel (within 45m) LANDUSE 510,510,44.7,260-000404
"4632 WINCHESTER PIKE, Columbus, OH, 43232",4632,WINCHESTER PIKE,,Columbus,OH,43232,39.8990451,-82.8789603,nearest parcel (within 19m) LANDUSE 510,510,19.5,180-001226
"3416 BRANDONBURY WAY, Columbus, OH, 43232",3416,BRANDONBURY WAY,,Columbus,OH,43232,39.9063699,-82.8722881,nearest parcel (within 6m) LANDUSE 510,510,5.5,180-005180
"5150 SEDALIA DR, Columbus, OH, 43232",5150,SEDALIA DR,,Columbus,OH,43232,39.9072239,-82.8634595,nearest parcel (within 55m) LANDUSE 510,510,55.1,180-003303
"3555 TORWOOD RD, Columbus, OH, 43232",3555,TORWOOD RD,,Columbus,OH,43232,39.9044713,-82.8631849,nearest parcel (within 26m) LANDUSE 510,510,25.9,180-003237
"5550 NEWPORT CT, Columbus, OH, 43232",5550,NEWPORT CT,,Columbus,OH,43232,39.9040049,-82.854371,nearest parcel (within 9m) LANDUSE 510,510,9.0,180-002500
"3073 WINCHESTER PIKE, Columbus, OH, 43232",3073,WINCHESTER PIKE,,Columbus,OH,43232,39.9106514,-82.9062409,nearest parcel (within 14m) LANDUSE 510,510,13.8,180-001277
"3603 TORWOOD RD, Columbus, OH, 43232",3603,TORWOOD RD,,Columbus,OH,43232,39.9036082,-82.8628168,nearest parcel (within 14m) LANDUSE 510,510,14.0,180-003231
"4996 CHATTERTON RD APT 1, Columbus, OH, 43232",4996,CHATTERTON RD,APT 1,Columbus,OH,43232,39.9161373,-82.8623937,nearest parcel (within 45m) LANDUSE 510,510,44.7,260-000404
"3759 EVANSTON RD, Columbus, OH, 43232",3759,EVANSTON RD,,Columbus,OH,43232,39.8999242,-82.864127,nearest parcel (within 15m) LANDUSE 510,510,15.2,180-002076
"5411 CLEARWATER DR, Columbus, OH, 43232",5411,CLEARWATER DR,,Columbus,OH,43232,39.8967976,-82.8611132,nearest parcel (within 9m) LANDUSE 510,510,9.0,180-002432
