number,street,city,county,state,postcode,latitude,longitude
5085,Sandusky St,Delaware,Delaware,OH,43015,40.368302,-83.057412
5794,William St,Delaware,Delaware,OH,43015,40.335449,-83.144739
4218,Washington St,Delaware,Delaware,OH,43015,40.260334,-83.091531
7230,Winter St,Delaware,Delaware,OH,43015,40.26675,-83.077916
7672,Winter St,Delaware,Delaware,OH,43015,40.243579,-83.147394
2816,Sandusky St,Delaware,Delaware,OH,43015,40.278145,-83.005916
425,Sandusky St,Delaware,Delaware,OH,43015,40.305336,-83.073247
625,Winter St,Delaware,Delaware,OH,43015,40.360361,-83.049868
8412,Sandusky St,Delaware,Delaware,OH,43015,40.357252,-83.063587
5477,Washington St,Delaware,Delaware,OH,43015,40.332334,-83.130354
6322,William St,Delaware,Delaware,OH,43015,40.278709,-83.054149
5596,Central Ave,Delaware,Delaware,OH,43015,40.344699,-83.000859
9168,Sandusky St,Delaware,Delaware,OH,43015,40.356683,-83.112819
9312,William St,Delaware,Delaware,OH,43015,40.294241,-83.060544
2489,Washington St,Delaware,Delaware,OH,43015,40.31873,-83.057316
2960,Franklin St,Delaware,Delaware,OH,43015,40.367922,-83.002543
2527,Sandusky St,Delaware,Delaware,OH,43015,40.26042,-83.094528
9356,Winter St,Delaware,Delaware,OH,43015,40.364682,-82.999321
8403,Washington St,Delaware,Delaware,OH,43015,40.291374,-83.023223
9218,William St,Delaware,Delaware,OH,43015,40.22834,-83.04497
303,Lake St,Delaware,Delaware,OH,43015,40.372804,-83.081099
1676,London Rd,Delaware,Delaware,OH,43015,40.243911,-82.994309
366,London Rd,Delaware,Delaware,OH,43015,40.333657,-83.103062
5783,London Rd,Delaware,Delaware,OH,43015,40.3015,-83.04961
4330,William St,Delaware,Delaware,OH,43015,40.269957,-83.084925
7201,Lake St,Delaware,Delaware,OH,43015,40.265237,-83.08621
1534,Union St,Delaware,Delaware,OH,43015,40.371344,-83.134718
2409,Winter St,Delaware,Delaware,OH,43015,40.360225,-83.147909
8608,London Rd,Delaware,Delaware,OH,43015,40.289497,-82.999779
4052,William St,Delaware,Delaware,OH,43015,40.376876,-83.135258
4008,London Rd,Delaware,Delaware,OH,43015,40.334888,-83.027432
7463,Winter St,Delaware,Delaware,OH,43015,40.268438,-83.023428
5853,Sandusky St,Delaware,Delaware,OH,43015,40.308582,-83.107461
4408,Lake St,Delaware,Delaware,OH,43015,40.314061,-83.00225
276,William St,Delaware,Delaware,OH,43015,40.252277,-83.036697
5875,London Rd,Delaware,Delaware,OH,43015,40.304388,-83.010081
5816,Union St,Delaware,Delaware,OH,43015,40.314533,-83.049062
1263,Winter St,Delaware,Delaware,OH,43015,40.236192,-83.012138
6822,Union St,Delaware,Delaware,OH,43015,40.286717,-82.998468
3335,Union St,Delaware,Delaware,OH,43015,40.37209,-83.063293
2677,Franklin St,Delaware,Delaware,OH,43015,40.317915,-83.123819
2223,London Rd,Delaware,Delaware,OH,43015,40.360473,-83.037592
3940,Central Ave,Delaware,Delaware,OH,43015,40.318149,-83.064907
3357,Lake St,Delaware,Delaware,OH,43015,40.232671,-83.020712
7020,Sandusky St,Delaware,Delaware,OH,43015,40.348499,-83.140506
3768,Lake St,Delaware,Delaware,OH,43015,40.336473,-83.046966
2950,Union St,Delaware,Delaware,OH,43015,40.352971,-83.071962
1859,Sandusky St,Delaware,Delaware,OH,43015,40.294901,-83.099129
3600,Franklin St,Delaware,Delaware,OH,43015,40.25166,-83.01496
3230,London Rd,Delaware,Delaware,OH,43015,40.223406,-83.146847
8113,Winter St,Delaware,Delaware,OH,43015,40.373135,-83.03759
4487,Sandusky St,Delaware,Delaware,OH,43015,40.264482,-83.064237
5048,Winter St,Delaware,Delaware,OH,43015,40.282514,-82.997842
7253,Lake St,Delaware,Delaware,OH,43015,40.342462,-83.146507
2897,Washington St,Delaware,Delaware,OH,43015,40.221542,-82.998958
3942,William St,Delaware,Delaware,OH,43015,40.372892,-83.091912
3184,Lake St,Delaware,Delaware,OH,43015,40.258421,-83.068789
140,Winter St,Delaware,Delaware,OH,43015,40.353977,-83.011738
7182,Washington St,Delaware,Delaware,OH,43015,40.267993,-83.002599
6673,Central Ave,Delaware,Delaware,OH,43015,40.296818,-83.052769
7746,Union St,Delaware,Delaware,OH,43015,40.372949,-83.137381
2958,Washington St,Delaware,Delaware,OH,43015,40.307513,-83.075617
8131,Union St,Delaware,Delaware,OH,43015,40.247355,-83.043903
550,Union St,Delaware,Delaware,OH,43015,40.36694,-83.028026
6989,William St,Delaware,Delaware,OH,43015,40.219183,-83.006179
7984,Winter St,Delaware,Delaware,OH,43015,40.3314,-83.120757
8914,Union St,Delaware,Delaware,OH,43015,40.267727,-83.085885
9838,Union St,Delaware,Delaware,OH,43015,40.321237,-83.094633
8288,London Rd,Delaware,Delaware,OH,43015,40.345469,-83.019402
8415,Winter St,Delaware,Delaware,OH,43015,40.259993,-82.997678
9845,William St,Delaware,Delaware,OH,43015,40.265323,-83.133373
9555,Washington St,Delaware,Delaware,OH,43015,40.338219,-83.125075
343,Sandusky St,Delaware,Delaware,OH,43015,40.27055,-83.10028
7510,Washington St,Delaware,Delaware,OH,43015,40.309822,-82.992415
1942,Washington St,Delaware,Delaware,OH,43015,40.233834,-83.059405
6376,Washington St,Delaware,Delaware,OH,43015,40.311281,-83.0468
5257,Winter St,Delaware,Delaware,OH,43015,40.324673,-82.992298
6002,Winter St,Delaware,Delaware,OH,43015,40.297327,-83.045908
5021,Winter St,Delaware,Delaware,OH,43015,40.227121,-83.127585
4978,London Rd,Delaware,Delaware,OH,43015,40.289731,-83.069945
7329,Sandusky St,Delaware,Delaware,OH,43015,40.332223,-83.031038
5427,Sandusky St,Delaware,Delaware,OH,43015,40.257752,-83.011215
4652,Sandusky St,Delaware,Delaware,OH,43015,40.330718,-83.015218
298,Winter St,Delaware,Delaware,OH,43015,40.239211,-83.137237
8228,Central Ave,Delaware,Delaware,OH,43015,40.339069,-83.041589
1582,Union St,Delaware,Delaware,OH,43015,40.31014,-83.023266
7605,Winter St,Delaware,Delaware,OH,43015,40.37174,-83.022613
5658,William St,Delaware,Delaware,OH,43015,40.289374,-83.14401
1872,Union St,Delaware,Delaware,OH,43015,40.232276,-83.031381
6380,London Rd,Delaware,Delaware,OH,43015,40.372674,-83.054156
1493,Winter St,Delaware,Delaware,OH,43015,40.367557,-83.062637
8131,Central Ave,Delaware,Delaware,OH,43015,40.277331,-83.039656
744,Central Ave,Delaware,Delaware,OH,43015,40.360713,-83.126215
500,William St,Delaware,Delaware,OH,43015,40.293633,-83.060398
3720,Washington St,Delaware,Delaware,OH,43015,40.264274,-83.05839
2941,Sandusky St,Delaware,Delaware,OH,43015,40.299821,-83.018597
3336,Lake St,Delaware,Delaware,OH,43015,40.363599,-83.095182
5895,Lake St,Delaware,Delaware,OH,43015,40.28857,-83.007303
7389,Winter St,Delaware,Delaware,OH,43015,40.358498,-83.08668
6243,London Rd,Delaware,Delaware,OH,43015,40.322294,-83.024629
7143,Union St,Delaware,Delaware,OH,43015,40.284301,-83.036817
6749,Franklin St,Delaware,Delaware,OH,43015,40.286461,-82.996709
2627,William St,Delaware,Delaware,OH,43015,40.258009,-83.072449
7222,Washington St,Delaware,Delaware,OH,43015,40.243311,-83.071059
1872,Union St,Delaware,Delaware,OH,43015,40.308023,-83.035642
6245,Union St,Delaware,Delaware,OH,43015,40.297804,-83.080773
3781,Franklin St,Delaware,Delaware,OH,43015,40.36324,-82.98836
687,William St,Delaware,Delaware,OH,43015,40.251176,-83.038215
6525,Sandusky St,Delaware,Delaware,OH,43015,40.374079,-83.145027
6573,Central Ave,Delaware,Delaware,OH,43015,40.357599,-83.124872
8952,Central Ave,Delaware,Delaware,OH,43015,40.366159,-83.084056
7058,Lake St,Delaware,Delaware,OH,43015,40.261572,-83.120147
1156,Franklin St,Delaware,Delaware,OH,43015,40.224911,-83.054588
2357,Lake St,Delaware,Delaware,OH,43015,40.36304,-83.084528
6365,Washington St,Delaware,Delaware,OH,43015,40.2435,-83.096791
5103,London Rd,Delaware,Delaware,OH,43015,40.230788,-83.121903
9951,Winter St,Delaware,Delaware,OH,43015,40.3219,-83.116983
6699,William St,Delaware,Delaware,OH,43015,40.311617,-83.085313
7314,William St,Delaware,Delaware,OH,43015,40.284399,-83.038506
2711,London Rd,Delaware,Delaware,OH,43015,40.282422,-83.079407
7604,Franklin St,Delaware,Delaware,OH,43015,40.236365,-83.111358
5312,Washington St,Delaware,Delaware,OH,43015,40.326947,-83.117907
8651,Winter St,Delaware,Delaware,OH,43015,40.233976,-83.120289
5799,Washington St,Delaware,Delaware,OH,43015,40.358206,-83.039868
7803,Union St,Delaware,Delaware,OH,43015,40.348759,-83.050362
9143,Franklin St,Delaware,Delaware,OH,43015,40.367038,-83.099175
6735,Franklin St,Delaware,Delaware,OH,43015,40.324318,-82.996511
8147,Union St,Delaware,Delaware,OH,43015,40.221483,-83.118136
9202,Washington St,Delaware,Delaware,OH,43015,40.312919,-83.132311
2648,William St,Delaware,Delaware,OH,43015,40.24051,-83.065696
8627,Sandusky St,Delaware,Delaware,OH,43015,40.371598,-83.016358
7293,William St,Delaware,Delaware,OH,43015,40.351053,-83.044867
7330,William St,Delaware,Delaware,OH,43015,40.324181,-83.10564
6609,Lake St,Delaware,Delaware,OH,43015,40.281961,-83.099215
4853,London Rd,Delaware,Delaware,OH,43015,40.234821,-83.125557
2992,Central Ave,Delaware,Delaware,OH,43015,40.232808,-83.092962
2106,Lake St,Delaware,Delaware,OH,43015,40.258499,-83.14704
2435,William St,Delaware,Delaware,OH,43015,40.271252,-83.022896
1788,Union St,Delaware,Delaware,OH,43015,40.291163,-83.085981
