number,street,city,county,state,postcode,latitude,longitude
2214,Cleveland Ave,Columbus,Franklin,OH,43203,39.997462,-83.062609
6697,Morse Rd,Columbus,Franklin,OH,43205,39.982541,-82.994509
9518,Livingston Ave,Columbus,Franklin,OH,43212,39.891954,-83.0695
1563,Long St,Columbus,Franklin,OH,43206,40.016362,-83.005401
1296,Rich St,Columbus,Franklin,OH,43217,39.942684,-83.019987
1585,Livingston Ave,Columbus,Franklin,OH,43223,40.030891,-83.055408
9584,Henderson Rd,Columbus,Franklin,OH,43004,40.018289,-83.018364
4469,Spring St,Columbus,Franklin,OH,43212,39.901429,-82.933771
7890,Long St,Columbus,Franklin,OH,43026,40.034339,-83.034406
7215,Cleveland Ave,Columbus,Franklin,OH,43004,40.00226,-83.020928
9779,Gay St,Columbus,Franklin,OH,43220,39.90145,-83.01498
840,Broad St,Columbus,Franklin,OH,43205,39.960873,-83.014425
963,Cleveland Ave,Columbus,Franklin,OH,43212,40.033581,-82.996519
8392,Broad St,Columbus,Franklin,OH,43221,39.899589,-82.989216
9071,Spring St,Columbus,Franklin,OH,43203,39.89916,-83.060629
926,Main St,Columbus,Franklin,OH,43081,39.950864,-83.043373
1899,Livingston Ave,Columbus,Franklin,OH,43219,39.901924,-83.054341
7032,Henderson Rd,Columbus,Franklin,OH,43235,39.938245,-83.025259
6166,Cleveland Ave,Columbus,Franklin,OH,43215,39.958217,-82.955201
6149,Gay St,Columbus,Franklin,OH,43209,40.030916,-82.932843
7562,Grant Ave,Columbus,Franklin,OH,43202,39.993534,-83.025708
1374,Henderson Rd,Columbus,Franklin,OH,43054,40.019571,-83.013291
8962,Spring St,Columbus,Franklin,OH,43235,40.001305,-82.920061
1803,Long St,Columbus,Franklin,OH,43026,39.895254,-82.953776
9794,Gay St,Columbus,Franklin,OH,43212,39.98421,-83.067752
6149,Morse Rd,Columbus,Franklin,OH,43210,39.929929,-83.061101
994,Rich St,Columbus,Franklin,OH,43215,39.939879,-83.037238
8670,Main St,Columbus,Franklin,OH,43054,40.004824,-83.001588
1200,Morse Rd,Columbus,Franklin,OH,43081,39.887575,-82.962489
6688,Cleveland Ave,Columbus,Franklin,OH,43085,39.911623,-82.929198
4529,Bethel Rd,Columbus,Franklin,OH,43219,39.987715,-83.045782
9207,Broad St,Columbus,Franklin,OH,43227,39.972232,-83.002985
5792,Bethel Rd,Columbus,Franklin,OH,43211,39.948264,-82.929914
3545,Livingston Ave,Columbus,Franklin,OH,43221,39.927404,-82.981155
384,Gay St,Columbus,Franklin,OH,43215,40.029541,-82.96995
5400,State St,Columbus,Franklin,OH,43119,39.965678,-82.932671
2958,Cleveland Ave,Columbus,Franklin,OH,43205,40.0296,-82.997878
3359,Broad St,Columbus,Franklin,OH,43229,39.937299,-83.02496
9147,Bethel Rd,Columbus,Franklin,OH,43207,39.970409,-83.033407
2285,Henderson Rd,Columbus,Franklin,OH,43209,39.929722,-82.955556
5161,Long St,Columbus,Franklin,OH,43221,39.943514,-83.076066
4604,Livingston Ave,Columbus,Franklin,OH,43230,39.915149,-82.967932
9227,Livingston Ave,Columbus,Franklin,OH,43081,39.975737,-83.00802
1826,Park St,Columbus,Franklin,OH,43204,39.894861,-82.932342
769,Main St,Columbus,Franklin,OH,43004,39.918426,-82.970146
4766,Morse Rd,Columbus,Franklin,OH,43004,39.924221,-83.048277
8922,Henderson Rd,Columbus,Franklin,OH,43222,40.001971,-82.957034
919,Main St,Columbus,Franklin,OH,43054,39.891155,-82.931264
6734,State St,Columbus,Franklin,OH,43123,39.907896,-82.952926
2121,Summit St,Columbus,Franklin,OH,43026,40.000511,-82.972948
6239,Broad St,Columbus,Franklin,OH,43227,39.921567,-83.05473
8831,Main St,Columbus,Franklin,OH,43222,40.009268,-82.926622
7123,Rich St,Columbus,Franklin,OH,43201,40.034613,-82.962358
889,Morse Rd,Columbus,Franklin,OH,43206,40.020205,-82.987214
6085,Henderson Rd,Columbus,Franklin,OH,43215,39.96859,-82.961916
3254,Rich St,Columbus,Franklin,OH,43213,39.911725,-83.005801
776,Livingston Ave,Columbus,Franklin,OH,43220,39.938869,-82.990436
6680,Cleveland Ave,Columbus,Franklin,OH,43230,39.923473,-82.959188
623,Cleveland Ave,Columbus,Franklin,OH,43209,39.956836,-82.952342
5132,Henderson Rd,Columbus,Franklin,OH,43204,39.929492,-82.947264
7125,Morse Rd,Columbus,Franklin,OH,43223,39.887644,-83.067533
6345,Rich St,Columbus,Franklin,OH,43235,40.017592,-82.945837
2835,Long St,Columbus,Franklin,OH,43213,39.963527,-82.936969
5164,Cleveland Ave,Columbus,Franklin,OH,43223,39.882453,-82.963551
6364,Spring St,Columbus,Franklin,OH,43054,39.91041,-83.02092
1860,Morse Rd,Columbus,Franklin,OH,43214,39.975269,-82.949977
5348,Park St,Columbus,Franklin,OH,43213,39.971125,-83.065367
6015,Bethel Rd,Columbus,Franklin,OH,43220,39.945709,-82.979369
7767,Livingston Ave,Columbus,Franklin,OH,43204,40.037741,-82.98636
425,Grant Ave,Columbus,Franklin,OH,43213,39.885225,-82.97676
2509,Bethel Rd,Columbus,Franklin,OH,43203,39.893365,-82.945458
1404,Town St,Columbus,Franklin,OH,43211,39.927507,-83.000119
1692,Cleveland Ave,Columbus,Franklin,OH,43119,39.914651,-82.979209
7255,Morse Rd,Columbus,Franklin,OH,43082,39.899146,-83.007905
5869,Broad St,Columbus,Franklin,OH,43213,39.917256,-83.01337
9477,Park St,Columbus,Franklin,OH,43204,39.971917,-82.957243
1865,Bethel Rd,Columbus,Franklin,OH,43215,39.893803,-82.924133
7866,Summit St,Columbus,Franklin,OH,43202,39.956539,-82.948291
1169,Spring St,Columbus,Franklin,OH,43213,39.903755,-82.963857
3617,Bethel Rd,Columbus,Franklin,OH,43212,39.947442,-83.073955
4257,State St,Columbus,Franklin,OH,43054,40.013831,-82.926496
1416,Town St,Columbus,Franklin,OH,43202,40.000438,-82.942084
1008,Rich St,Columbus,Franklin,OH,43231,39.941105,-83.015873
5973,Spring St,Columbus,Franklin,OH,43085,40.03223,-83.064947
4950,Grant Ave,Columbus,Franklin,OH,43220,39.947224,-82.954927
4947,Town St,Columbus,Franklin,OH,43227,39.981655,-82.952463
9755,Cleveland Ave,Columbus,Franklin,OH,43223,39.969686,-83.029619
3266,Henderson Rd,Columbus,Franklin,OH,43207,40.004854,-83.01538
4629,Main St,Columbus,Franklin,OH,43082,39.935554,-83.07771
2289,Town St,Columbus,Franklin,OH,43202,39.893403,-83.038877
1733,Gay St,Columbus,Franklin,OH,43203,39.912566,-83.040458
844,Morse Rd,Columbus,Franklin,OH,43202,40.032283,-82.967445
7750,Park St,Columbus,Franklin,OH,43054,39.901986,-83.013231
8834,Cleveland Ave,Columbus,Franklin,OH,43211,39.883853,-83.011428
9263,Broad St,Columbus,Franklin,OH,43215,39.901155,-82.977259
3916,Gay St,Columbus,Franklin,OH,43230,40.034856,-82.946078
599,Broad St,Columbus,Franklin,OH,43211,39.968266,-82.965817
3268,State St,Columbus,Franklin,OH,43230,39.972137,-82.960698
1571,Henderson Rd,Columbus,Franklin,OH,43206,40.006263,-83.073607
8718,Summit St,Columbus,Franklin,OH,43214,39.938379,-83.051786
3091,Bethel Rd,Columbus,Franklin,OH,43231,40.0277,-83.044952
1915,Grant Ave,Columbus,Franklin,OH,43215,40.033644,-82.945843
4072,Morse Rd,Columbus,Franklin,OH,43213,39.88141,-83.040882
1272,Broad St,Columbus,Franklin,OH,43235,39.940146,-83.031582
3191,Morse Rd,Columbus,Franklin,OH,43210,40.023491,-83.040762
2501,Park St,Columbus,Franklin,OH,43085,40.035473,-82.969794
2364,High St,Columbus,Franklin,OH,43123,39.903161,-82.952442
6945,Livingston Ave,Columbus,Franklin,OH,43215,39.946066,-82.995394
1764,High St,Columbus,Franklin,OH,43085,39.970323,-82.992971
3321,Grant Ave,Columbus,Franklin,OH,43201,39.886122,-82.942319
788,Broad St,Columbus,Franklin,OH,43081,39.902772,-83.042084
1690,High St,Columbus,Franklin,OH,43221,39.949662,-83.028958
2472,Broad St,Columbus,Franklin,OH,43209,39.918937,-82.965596
7706,Livingston Ave,Columbus,Franklin,OH,43214,39.902306,-83.001079
9809,Summit St,Columbus,Franklin,OH,43085,39.989654,-83.043861
8654,Livingston Ave,Columbus,Franklin,OH,43224,40.023272,-82.9493
2131,Bethel Rd,Columbus,Franklin,OH,43229,40.022871,-83.01027
2694,Long St,Columbus,Franklin,OH,43221,40.041187,-83.028731
8760,High St,Columbus,Franklin,OH,43081,39.992889,-82.950491
