number,street,city,state,postcode,latitude,longitude
1982,Long St,Columbus,OH,43215,39.960501,-82.991863
1235,Broad St,Columbus,OH,43229,39.996249,-82.98875
6919,Main St,Columbus,OH,43215,39.941354,-82.977466
1361,Main St,Columbus,OH,43201,39.981247,-83.020626
9374,Main St,Columbus,OH,43206,39.931517,-83.015134
7456,Main St,Columbus,OH,43229,39.949652,-83.023191
9355,Rich St,Columbus,OH,43214,39.975719,-83.033003
8320,High St,Columbus,OH,43215,39.99565,-83.039066
706,High St,Columbus,OH,43214,39.945639,-83.022786
615,Broad St,Columbus,OH,43215,39.983444,-83.04627
4113,Long St,Columbus,OH,43214,39.986065,-82.98013
4671,Broad St,Columbus,OH,43201,39.916337,-83.007903
7419,High St,Columbus,OH,43206,39.992254,-82.962086
7959,High St,Columbus,OH,43215,39.945381,-83.041498
626,Main St,Columbus,OH,43214,39.954064,-83.042332
3670,Spring St,Columbus,OH,43206,39.95308,-83.000847
5618,Main St,Columbus,OH,43215,39.930233,-82.98436
8655,Spring St,Columbus,OH,43215,39.943504,-83.040523
9151,Gay St,Columbus,OH,43229,40.009819,-82.988738
3397,Broad St,Columbus,OH,43229,39.948325,-83.021959
1956,Main St,Columbus,OH,43214,39.961201,-82.949678
8911,Gay St,Columbus,OH,43201,39.948878,-82.958811
6143,Main St,Columbus,OH,43215,39.941094,-83.040045
8206,Gay St,Columbus,OH,43214,39.940193,-82.953109
6251,Spring St,Columbus,OH,43206,39.991561,-82.98455
4450,Long St,Columbus,OH,43214,39.933412,-82.960995
3761,High St,Columbus,OH,43214,39.937298,-82.997719
9468,High St,Columbus,OH,43206,40.00547,-82.983607
9991,Broad St,Columbus,OH,43214,39.974465,-83.017286
3415,Spring St,Columbus,OH,43229,40.003035,-83.022576
908,Rich St,Columbus,OH,43201,39.941609,-83.042781
3310,Gay St,Columbus,OH,43214,39.917559,-82.962065
3888,High St,Columbus,OH,43229,40.002137,-82.998655
9764,Long St,Columbus,OH,43206,39.946078,-83.024855
952,Rich St,Columbus,OH,43229,39.930942,-82.991022
6277,Long St,Columbus,OH,43214,39.94721,-82.972307
6729,Rich St,Columbus,OH,43206,40.00028,-82.97629
2472,Broad St,Columbus,OH,43201,39.941913,-82.961475
2379,Rich St,Columbus,OH,43201,39.944015,-83.037622
9984,Rich St,Columbus,OH,43201,40.003771,-83.0026
5932,Gay St,Columbus,OH,43206,39.950825,-82.992911
1335,Broad St,Columbus,OH,43201,39.967165,-83.026172
5828,Spring St,Columbus,OH,43214,39.922458,-82.98515
4866,Rich St,Columbus,OH,43214,40.001684,-82.976012
9823,Main St,Columbus,OH,43214,39.97118,-82.979031
9234,Main St,Columbus,OH,43206,39.917853,-82.960053
8118,Long St,Columbus,OH,43214,39.918507,-82.96776
9070,Long St,Columbus,OH,43206,39.991531,-83.030155
6300,Rich St,Columbus,OH,43201,39.925396,-82.978746
3339,Spring St,Columbus,OH,43201,39.924135,-82.978183
4418,Main St,Columbus,OH,43215,39.999778,-83.025844
396,Main St,Columbus,OH,43215,39.979157,-83.039699
497,Spring St,Columbus,OH,43214,39.964858,-83.019758
4686,High St,Columbus,OH,43229,39.961113,-82.957128
6323,Rich St,Columbus,OH,43215,40.008791,-82.954348
3933,High St,Columbus,OH,43206,39.968519,-82.952734
7911,Spring St,Columbus,OH,43214,39.920157,-82.983226
2449,Rich St,Columbus,OH,43206,39.933858,-83.009583
3993,Rich St,Columbus,OH,43229,39.911334,-83.012011
8847,Rich St,Columbus,OH,43214,39.987148,-82.98471
4939,Spring St,Columbus,OH,43229,39.949584,-82.973369
7830,Gay St,Columbus,OH,43201,39.970486,-83.035078
5486,Gay St,Columbus,OH,43214,39.94537,-82.989293
350,High St,Columbus,OH,43229,39.977065,-82.958403
1494,Euclid Ave,Cleveland,OH,44102,41.504211,-81.648673
5155,Ontario St,Cleveland,OH,44102,41.530699,-81.726636
9115,Carnegie Ave,Cleveland,OH,44114,41.53371,-81.730834
7747,Euclid Ave,Cleveland,OH,44114,41.514103,-81.678435
1058,Ontario St,Cleveland,OH,44102,41.533777,-81.652122
5607,Euclid Ave,Cleveland,OH,44102,41.462735,-81.682736
173,Superior Ave,Cleveland,OH,44113,41.506073,-81.652891
6366,Carnegie Ave,Cleveland,OH,44114,41.500516,-81.671463
7384,Carnegie Ave,Cleveland,OH,44115,41.524317,-81.709884
9756,Prospect Ave,Cleveland,OH,44115,41.525097,-81.648732
2977,Superior Ave,Cleveland,OH,44103,41.497786,-81.700241
9015,Prospect Ave,Cleveland,OH,44103,41.509652,-81.705452
2119,Carnegie Ave,Cleveland,OH,44102,41.485826,-81.649706
671,Prospect Ave,Cleveland,OH,44103,41.516052,-81.72345
7010,Prospect Ave,Cleveland,OH,44115,41.464924,-81.676952
9074,Euclid Ave,Cleveland,OH,44114,41.53679,-81.738081
4787,Prospect Ave,Cleveland,OH,44113,41.546783,-81.665021
6286,Carnegie Ave,Cleveland,OH,44114,41.548633,-81.694693
1628,Prospect Ave,Cleveland,OH,44102,41.510467,-81.675823
7850,Superior Ave,Cleveland,OH,44114,41.491644,-81.721041
2681,Ontario St,Cleveland,OH,44102,41.509301,-81.659453
2135,Superior Ave,Cleveland,OH,44115,41.491568,-81.670733
3450,Carnegie Ave,Cleveland,OH,44115,41.462267,-81.694454
4880,Prospect Ave,Cleveland,OH,44102,41.495972,-81.647482
7289,Carnegie Ave,Cleveland,OH,44114,41.457856,-81.721819
5661,Ontario St,Cleveland,OH,44103,41.49129,-81.662701
5037,Euclid Ave,Cleveland,OH,44114,41.468782,-81.72215
9368,Prospect Ave,Cleveland,OH,44103,41.539805,-81.711374
4798,Prospect Ave,Cleveland,OH,44113,41.463624,-81.681002
7931,Euclid Ave,Cleveland,OH,44115,41.538078,-81.649606
2770,Carnegie Ave,Cleveland,OH,44103,41.491682,-81.663773
6018,Superior Ave,Cleveland,OH,44115,41.498473,-81.720291
5268,Superior Ave,Cleveland,OH,44114,41.502843,-81.739458
9715,Superior Ave,Cleveland,OH,44103,41.536656,-81.724483
7979,Prospect Ave,Cleveland,OH,44115,41.530753,-81.651485
3905,Prospect Ave,Cleveland,OH,44103,41.495719,-81.714318
6182,Superior Ave,Cleveland,OH,44102,41.465037,-81.722264
545,Prospect Ave,Cleveland,OH,44102,41.533682,-81.700354
