number,street,city,state,postcode,latitude,longitude
1982,Long St,Columbus,OH,43215,39.960501,-82.991863
6919,Main St,Columbus,OH,43215,39.941354,-82.977466
8320,High St,Columbus,OH,43215,39.99565,-83.039066
615,Broad St,Columbus,OH,43215,39.983444,-83.04627
7959,High St,Columbus,OH,43215,39.945381,-83.041498
5618,Main St,Columbus,OH,43215,39.930233,-82.98436
8655,Spring St,Columbus,OH,43215,39.943504,-83.040523
6143,Main St,Columbus,OH,43215,39.941094,-83.040045
4418,Main St,Columbus,OH,43215,39.999778,-83.025844
396,Main St,Columbus,OH,43215,39.979157,-83.039699
6323,Rich St,Columbus,OH,43215,40.008791,-82.954348
9115,Carnegie Ave,Cleveland,OH,44114,41.53371,-81.730834
7747,Euclid Ave,Cleveland,OH,44114,41.514103,-81.678435
6366,Carnegie Ave,Cleveland,OH,44114,41.500516,-81.671463
9074,Euclid Ave,Cleveland,OH,44114,41.53679,-81.738081
6286,Carnegie Ave,Cleveland,OH,44114,41.548633,-81.694693
7850,Superior Ave,Cleveland,OH,44114,41.491644,-81.721041
7289,Carnegie Ave,Cleveland,OH,44114,41.457856,-81.721819
5037,Euclid Ave,Cleveland,OH,44114,41.468782,-81.72215
5268,Superior Ave,Cleveland,OH,44114,41.502843,-81.739458
210,Ontario St,Cleveland,OH,44114,41.545135,-81.675726
1975,Carnegie Ave,Cleveland,OH,44114,41.516544,-81.71682
5151,Euclid Ave,Cleveland,OH,44114,41.499524,-81.70569
9676,Ontario St,Cleveland,OH,44114,41.519095,-81.67448
3580,Ontario St,Cleveland,OH,44114,41.467568,-81.705014
4771,Prospect Ave,Cleveland,OH,44114,41.524796,-81.715465
3647,Ontario St,Cleveland,OH,44114,41.46632,-81.675313
8473,Superior Ave,Cleveland,OH,44114,41.540881,-81.697141
9930,Prospect Ave,Cleveland,OH,44114,41.53923,-81.717068
8092,Euclid Ave,Cleveland,OH,44114,41.527132,-81.709237
8582,Central Ave,Cincinnati,OH,45202,39.065126,-84.541999
5122,Walnut St,Cincinnati,OH,45202,39.124801,-84.517574
7939,Walnut St,Cincinnati,OH,45202,39.064972,-84.55848
6702,Walnut St,Cincinnati,OH,45202,39.140002,-84.554319
1793,Vine St,Cincinnati,OH,45202,39.091999,-84.493728
7871,Central Ave,Cincinnati,OH,45202,39.078953,-84.505259
9669,Main St,Cincinnati,OH,45202,39.144063,-84.504927
9002,Walnut St,Cincinnati,OH,45202,39.112045,-84.505875
9792,Vine St,Cincinnati,OH,45202,39.115244,-84.550515
319,Main St,Cincinnati,OH,45202,39.123559,-84.50563
9989,Walnut St,Cincinnati,OH,45202,39.053162,-84.543784
3944,Main St,Cincinnati,OH,45202,39.133022,-84.536532
1121,Sycamore St,Cincinnati,OH,45202,39.139428,-84.485985
3765,Main St,Cincinnati,OH,45202,39.096284,-84.544034
7995,Main St,Cincinnati,OH,45202,39.121795,-84.518783
5300,Walnut St,Cincinnati,OH,45202,39.053693,-84.465847
