number,street,city,state,postcode,latitude,longitude
100,High St,Columbus,OH,43215,39.9612,-82.9988
200,Main St,Columbus,OH,43215,39.9612,-82.9988
300,Broad St,Columbus,OH,43215,39.9612,-82.9988
150,Vine St,Cincinnati,OH,45202,39.1031,-84.5120
250,Central Ave,Cincinnati,OH,45202,39.1031,-84.5120
350,Race St,Cincinnati,OH,45202,39.1031,-84.5120
175,Superior Ave,Cleveland,OH,44114,41.4993,-81.6944
275,Euclid Ave,Cleveland,OH,44115,41.4993,-81.6944
375,Ontario St,Cleveland,OH,44113,41.4993,-81.6944
400,Market St,Akron,OH,44308,41.0814,-81.5190
500,Main St,Dayton,OH,45402,39.7589,-84.1916
600,High St,Toledo,OH,43604,41.6528,-83.5379
700,Broad St,Columbus,OH,43206,39.9612,-82.9988
800,State St,Columbus,OH,43215,39.9612,-82.9988
900,Liberty St,Cincinnati,OH,45203,39.1031,-84.5120
1000,Walnut St,Cincinnati,OH,45202,39.1031,-84.5120
1100,Carnegie Ave,Cleveland,OH,44115,41.4993,-81.6944
1200,Prospect Ave,Cleveland,OH,44115,41.4993,-81.6944
1300,Exchange St,Akron,OH,44308,41.0814,-81.5190
1400,3rd St,Dayton,OH,45402,39.7589,-84.1916
1500,Adams St,Toledo,OH,43604,41.6528,-83.5379
1600,Summit St,Toledo,OH,43604,41.6528,-83.5379
1700,Spring St,Columbus,OH,43206,39.9612,-82.9988
1800,Gay St,Columbus,OH,43215,39.9612,-82.9988
1900,Sycamore St,Cincinnati,OH,45202,39.1031,-84.5120
2000,Pike St,Cincinnati,OH,45202,39.1031,-84.5120
