number,street,city,county,state,postcode,latitude,longitude
926,Main St,Columbus,Franklin,OH,43081,39.950864,-83.043373
6166,Cleveland Ave,Columbus,Franklin,OH,43215,39.958217,-82.955201
994,Rich St,Columbus,Franklin,OH,43215,39.939879,-83.037238
1200,Morse Rd,Columbus,Franklin,OH,43081,39.887575,-82.962489
384,Gay St,Columbus,Franklin,OH,43215,40.029541,-82.96995
9227,Livingston Ave,Columbus,Franklin,OH,43081,39.975737,-83.00802
6085,Henderson Rd,Columbus,Franklin,OH,43215,39.96859,-82.961916
1865,Bethel Rd,Columbus,Franklin,OH,43215,39.893803,-82.924133
9263,Broad St,Columbus,Franklin,OH,43215,39.901155,-82.977259
1915,Grant Ave,Columbus,Franklin,OH,43215,40.033644,-82.945843
6945,Livingston Ave,Columbus,Franklin,OH,43215,39.946066,-82.995394
788,Broad St,Columbus,Franklin,OH,43081,39.902772,-83.042084
8760,High St,Columbus,Franklin,OH,43081,39.992889,-82.950491
3467,State St,Columbus,Franklin,OH,43081,39.920229,-83.050509
6193,Cleveland Ave,Columbus,Franklin,OH,43215,39.889518,-83.073266
6605,Broad St,Columbus,Franklin,OH,43081,39.95015,-82.958147
4456,High St,Columbus,Franklin,OH,43081,40.010337,-83.036756
2160,Main St,Columbus,Franklin,OH,43215,39.903822,-83.001104
3842,Bethel Rd,Columbus,Franklin,OH,43215,39.951122,-82.93811
3893,Broad St,Columbus,Franklin,OH,43081,39.988721,-82.969966
9729,Morse Rd,Columbus,Franklin,OH,43081,39.90948,-82.972825
6730,Henderson Rd,Columbus,Franklin,OH,43081,40.002923,-82.925602
6062,Livingston Ave,Columbus,Franklin,OH,43215,39.988016,-83.067244
7631,State St,Columbus,Franklin,OH,43081,39.990946,-83.011256
8369,Town St,Columbus,Franklin,OH,43215,39.890406,-82.941842
9582,Town St,Columbus,Franklin,OH,43215,40.038845,-83.013839
6680,State St,Columbus,Franklin,OH,43215,40.03993,-82.965188
2178,Main St,Columbus,Franklin,OH,43215,40.02818,-82.96999
2117,Summit St,Columbus,Franklin,OH,43215,39.963715,-82.970324
887,Grant Ave,Columbus,Franklin,OH,43081,39.979614,-83.060454
8947,Livingston Ave,Columbus,Franklin,OH,43081,40.012796,-82.924511
5420,State St,Columbus,Franklin,OH,43081,39.915343,-82.998615
6541,Bethel Rd,Columbus,Franklin,OH,43215,39.962176,-82.992796
301,Rich St,Columbus,Franklin,OH,43215,40.027983,-83.034113
2317,Broad St,Columbus,Franklin,OH,43215,39.989118,-82.920273
2731,Bethel Rd,Columbus,Franklin,OH,43215,39.96696,-83.011697
853,Livingston Ave,Columbus,Franklin,OH,43081,39.949046,-82.920959
4385,Summit St,Columbus,Franklin,OH,43081,39.913501,-82.92083
1970,Summit St,Columbus,Franklin,OH,43081,39.986277,-83.063267
2842,Henderson Rd,Columbus,Franklin,OH,43215,39.906433,-83.053615
8739,Bethel Rd,Columbus,Franklin,OH,43215,39.995846,-83.065848
9010,Town St,Columbus,Franklin,OH,43081,39.985413,-82.991137
7182,Town St,Columbus,Franklin,OH,43215,39.944528,-83.037382
2429,Summit St,Columbus,Franklin,OH,43215,39.999772,-82.934732
770,Main St,Columbus,Franklin,OH,43081,40.000836,-83.00959
5115,Broad St,Columbus,Franklin,OH,43215,39.915816,-82.927955
9553,Main St,Columbus,Franklin,OH,43215,39.918479,-83.026959
