address,reason
"4826 NORTHTOWNE BLVD, COLUMBUS, OH, 43229",High commercial likelihood: NORTHTOWNE BLVD
"6325 BUSCH BLVD, COLUMBUS, OH, 43229",High commercial likelihood: BUSCH BLVD
"4872 NORTHTOWNE BLVD, COLUMBUS, OH, 43229",High commercial likelihood: NORTHTOWNE BLVD
"6194 BUSCH BLVD, 137, COLUMBUS, OH, 43229",High commercial likelihood: BUSCH BLVD
"6404 BUSCH BLVD, 452, COLUMBUS, OH, 43229",High commercial likelihood: BUSCH BLVD
"6194 BUSCH BLVD, 146, COLUMBUS, OH, 43229",High commercial likelihood: BUSCH BLVD
"6406 BUSCH BLVD, 468, COLUMBUS, OH, 43229",High commercial likelihood: BUSCH BLVD
"6172 BUSCH BLVD, 2054, COLUMBUS, OH, 43229",High commercial likelihood: BUSCH BLVD
"6406 BUSCH BLVD, 454, COLUMBUS, OH, 43229",High commercial likelihood: BUSCH BLVD
"6680 BUSCH BLVD, COLUMBUS, OH, 43229",High commercial likelihood: BUSCH BLVD
"4636 NORTHTOWNE BLVD, G, COLUMBUS, OH, 43229",High commercial likelihood: NORTHTOWNE BLVD
"6327 BUSCH BLVD, COLUMBUS, OH, 43229",High commercial likelihood: BUSCH BLVD
"6140 BUSCH BLVD, 71, COLUMBUS, OH, 43229",High commercial likelihood: BUSCH BLVD
"6406 BUSCH BLVD, 453, COLUMBUS, OH, 43229",High commercial likelihood: BUSCH BLVD
"6140 BUSCH BLVD, 90, COLUMBUS, OH, 43229",High commercial likelihood: BUSCH BLVD
"4600 NORTHTOWNE BLVD, 114, COLUMBUS, OH, 43229",High commercial likelihood: NORTHTOWNE BLVD
"4630 NORTHTOWNE BLVD, G, COLUMBUS, OH, 43229",High commercial likelihood: NORTHTOWNE BLVD
"6319 BUSCH BLVD, COLUMBUS, OH, 43229",High commercial likelihood: BUSCH BLVD
"4594 NORTHTOWNE BLVD, 215, COLUMBUS, OH, 43229",High commercial likelihood: NORTHTOWNE BLVD
"6281 BUSCH BLVD, COLUMBUS, OH, 43229",High commercial likelihood: BUSCH BLVD
"4600 NORTHTOWNE BLVD, 118, COLUMBUS, OH, 43229",High commercial likelihood: NORTHTOWNE BLVD
"6301 BUSCH BLVD, COLUMBUS, OH, 43229",High commercial likelihood: BUSCH BLVD
"4594 NORTHTOWNE BLVD, 214, COLUMBUS, OH, 43229",High commercial likelihood: NORTHTOWNE BLVD
"6404 BUSCH BLVD, 438, COLUMBUS, OH, 43229",High commercial likelihood: BUSCH BLVD
"6423 BUSCH BLVD, COLUMBUS, OH, 43229",High commercial likelihood: BUSCH BLVD
"6394 BUSCH BLVD, 407, COLUMBUS, OH, 43229",High commercial likelihood: BUSCH BLVD
